bag_id,x,y
46,16384,2048
47,18432,2048
66,57344,2048
67,59392,2048
68,61440,2048
69,63488,2048
77,2048,4096
78,4096,4096
79,6144,4096
80,8192,4096
81,10240,4096
82,12288,4096
83,14336,4096
84,16384,4096
85,18432,4096
103,55296,4096
104,57344,4096
105,59392,4096
106,61440,4096
107,63488,4096
108,65536,4096
109,67584,4096
110,69632,4096
111,71680,4096
112,73728,4096
115,2048,6144
116,4096,6144
117,6144,6144
118,8192,6144
119,10240,6144
120,12288,6144
121,14336,6144
122,16384,6144
123,18432,6144
142,57344,6144
143,59392,6144
144,61440,6144
145,63488,6144
146,65536,6144
147,67584,6144
148,69632,6144
149,71680,6144
150,73728,6144
153,2048,8192
154,4096,8192
155,6144,8192
156,8192,8192
157,10240,8192
158,12288,8192
159,14336,8192
160,16384,8192
181,59392,8192
182,61440,8192
183,63488,8192
184,65536,8192
185,67584,8192
186,69632,8192
187,71680,8192
188,73728,8192
192,4096,10240
193,6144,10240
194,8192,10240
195,10240,10240
196,12288,10240
223,67584,10240
224,69632,10240
225,71680,10240
