bag_id,x,y
34,69632,0
35,71680,0
50,2048,2048
51,4096,2048
52,6144,2048
83,69632,2048
84,71680,2048
85,73728,2048
86,75776,2048
100,4096,4096
101,6144,4096
102,8192,4096
104,12288,4096
133,71680,4096
134,73728,4096
135,75776,4096
136,77824,4096
137,79872,4096
149,4096,6144
150,6144,6144
151,8192,6144
152,10240,6144
153,12288,6144
182,71680,6144
183,73728,6144
184,75776,6144
185,77824,6144
186,79872,6144
198,4096,8192
199,6144,8192
200,8192,8192
201,10240,8192
231,71680,8192
232,73728,8192
233,75776,8192
247,4096,10240
248,6144,10240
256,22528,10240
257,24576,10240
280,71680,10240
281,73728,10240
289,90112,10240
290,92160,10240
296,4096,12288
297,6144,12288
306,24576,12288
307,26624,12288
308,28672,12288
338,90112,12288
339,92160,12288
340,94208,12288
341,96256,12288
353,20480,14336
354,22528,14336
355,24576,14336
356,26624,14336
357,28672,14336
386,88064,14336
387,90112,14336
388,92160,14336
389,94208,14336
390,96256,14336
401,18432,16384
402,20480,16384
403,22528,16384
404,24576,16384
405,26624,16384
406,28672,16384
434,86016,16384
435,88064,16384
436,90112,16384
437,92160,16384
438,94208,16384
449,16384,18432
450,18432,18432
451,20480,18432
452,22528,18432
453,24576,18432
454,26624,18432
479,77824,18432
480,79872,18432
481,81920,18432
482,83968,18432
483,86016,18432
484,88064,18432
485,90112,18432
486,92160,18432
487,94208,18432
496,12288,20480
497,14336,20480
498,16384,20480
499,18432,20480
500,20480,20480
501,22528,20480
502,24576,20480
503,26624,20480
528,77824,20480
529,79872,20480
530,81920,20480
531,83968,20480
532,86016,20480
533,88064,20480
534,90112,20480
535,92160,20480
545,12288,22528
546,14336,22528
547,16384,22528
548,18432,22528
549,20480,22528
550,22528,22528
551,24576,22528
578,79872,22528
579,81920,22528
580,83968,22528
581,86016,22528
582,88064,22528
583,90112,22528
594,12288,24576
595,14336,24576
596,16384,24576
597,18432,24576
598,20480,24576
599,22528,24576
627,79872,24576
628,81920,24576
629,83968,24576
630,86016,24576
631,88064,24576
632,90112,24576
644,14336,26624
645,16384,26624
646,18432,26624
647,20480,26624
648,22528,26624
676,79872,26624
677,81920,26624
678,83968,26624
680,88064,26624
694,16384,28672
726,81920,28672
727,83968,28672
