bag_id,x,y
22,45056,0
23,47104,0
25,51200,0
26,53248,0
48,43008,2048
49,45056,2048
50,47104,2048
51,49152,2048
52,51200,2048
53,53248,2048
72,36864,4096
73,38912,4096
74,40960,4096
75,43008,4096
76,45056,4096
77,47104,4096
78,49152,4096
79,51200,4096
80,53248,4096
94,26624,6144
95,28672,6144
96,30720,6144
97,32768,6144
98,34816,6144
99,36864,6144
100,38912,6144
101,40960,6144
102,43008,6144
103,45056,6144
104,47104,6144
105,49152,6144
106,51200,6144
107,53248,6144
118,20480,8192
119,22528,8192
120,24576,8192
121,26624,8192
122,28672,8192
123,30720,8192
124,32768,8192
125,34816,8192
126,36864,8192
127,38912,8192
128,40960,8192
129,43008,8192
130,45056,8192
131,47104,8192
132,49152,8192
133,51200,8192
134,53248,8192
139,8192,10240
140,10240,10240
141,12288,10240
142,14336,10240
143,16384,10240
144,18432,10240
145,20480,10240
146,22528,10240
147,24576,10240
148,26624,10240
149,28672,10240
150,30720,10240
151,32768,10240
152,34816,10240
153,36864,10240
154,38912,10240
155,40960,10240
156,43008,10240
157,45056,10240
158,47104,10240
159,49152,10240
160,51200,10240
161,53248,10240
166,8192,12288
167,10240,12288
168,12288,12288
169,14336,12288
170,16384,12288
171,18432,12288
172,20480,12288
173,22528,12288
174,24576,12288
175,26624,12288
176,28672,12288
177,30720,12288
178,32768,12288
179,34816,12288
180,36864,12288
181,38912,12288
182,40960,12288
183,43008,12288
184,45056,12288
185,47104,12288
186,49152,12288
187,51200,12288
188,53248,12288
192,6144,14336
193,8192,14336
194,10240,14336
195,12288,14336
196,14336,14336
197,16384,14336
198,18432,14336
199,20480,14336
200,22528,14336
201,24576,14336
202,26624,14336
203,28672,14336
204,30720,14336
205,32768,14336
206,34816,14336
207,36864,14336
208,38912,14336
209,40960,14336
210,43008,14336
211,45056,14336
212,47104,14336
213,49152,14336
214,51200,14336
215,53248,14336
218,4096,16384
219,6144,16384
220,8192,16384
221,10240,16384
222,12288,16384
223,14336,16384
224,16384,16384
225,18432,16384
226,20480,16384
227,22528,16384
228,24576,16384
229,26624,16384
230,28672,16384
231,30720,16384
232,32768,16384
233,34816,16384
234,36864,16384
235,38912,16384
236,40960,16384
237,43008,16384
238,45056,16384
239,47104,16384
240,49152,16384
241,51200,16384
242,53248,16384
245,4096,18432
246,6144,18432
247,8192,18432
248,10240,18432
249,12288,18432
250,14336,18432
251,16384,18432
252,18432,18432
253,20480,18432
254,22528,18432
255,24576,18432
256,26624,18432
257,28672,18432
258,30720,18432
259,32768,18432
260,34816,18432
261,36864,18432
262,38912,18432
263,40960,18432
264,43008,18432
265,45056,18432
266,47104,18432
267,49152,18432
268,51200,18432
269,53248,18432
272,4096,20480
273,6144,20480
274,8192,20480
275,10240,20480
276,12288,20480
277,14336,20480
278,16384,20480
279,18432,20480
280,20480,20480
281,22528,20480
282,24576,20480
283,26624,20480
284,28672,20480
285,30720,20480
286,32768,20480
287,34816,20480
288,36864,20480
289,38912,20480
290,40960,20480
291,43008,20480
292,45056,20480
293,47104,20480
294,49152,20480
295,51200,20480
296,53248,20480
298,2048,22528
299,4096,22528
300,6144,22528
301,8192,22528
302,10240,22528
303,12288,22528
304,14336,22528
305,16384,22528
306,18432,22528
307,20480,22528
308,22528,22528
309,24576,22528
310,26624,22528
311,28672,22528
312,30720,22528
313,32768,22528
314,34816,22528
315,36864,22528
316,38912,22528
317,40960,22528
318,43008,22528
319,45056,22528
320,47104,22528
321,49152,22528
322,51200,22528
323,53248,22528
325,2048,24576
326,4096,24576
327,6144,24576
328,8192,24576
329,10240,24576
330,12288,24576
331,14336,24576
332,16384,24576
333,18432,24576
334,20480,24576
335,22528,24576
336,24576,24576
337,26624,24576
338,28672,24576
339,30720,24576
340,32768,24576
341,34816,24576
342,36864,24576
343,38912,24576
344,40960,24576
345,43008,24576
346,45056,24576
347,47104,24576
348,49152,24576
349,51200,24576
350,53248,24576
352,2048,26624
353,4096,26624
354,6144,26624
355,8192,26624
356,10240,26624
357,12288,26624
362,22528,26624
363,24576,26624
364,26624,26624
365,28672,26624
366,30720,26624
367,32768,26624
368,34816,26624
369,36864,26624
370,38912,26624
371,40960,26624
372,43008,26624
373,45056,26624
374,47104,26624
375,49152,26624
376,51200,26624
377,53248,26624
379,2048,28672
380,4096,28672
381,6144,28672
382,8192,28672
383,10240,28672
384,12288,28672
385,14336,28672
386,16384,28672
387,18432,28672
388,20480,28672
389,22528,28672
390,24576,28672
391,26624,28672
392,28672,28672
393,30720,28672
394,32768,28672
395,34816,28672
396,36864,28672
397,38912,28672
398,40960,28672
399,43008,28672
400,45056,28672
401,47104,28672
402,49152,28672
403,51200,28672
404,53248,28672
405,0,30720
406,2048,30720
408,6144,30720
409,8192,30720
410,10240,30720
411,12288,30720
412,14336,30720
413,16384,30720
414,18432,30720
415,20480,30720
416,22528,30720
417,24576,30720
418,26624,30720
419,28672,30720
420,30720,30720
421,32768,30720
422,34816,30720
423,36864,30720
424,38912,30720
425,40960,30720
426,43008,30720
427,45056,30720
428,47104,30720
429,49152,30720
430,51200,30720
431,53248,30720
440,16384,32768
441,18432,32768
442,20480,32768
443,22528,32768
444,24576,32768
445,26624,32768
446,28672,32768
447,30720,32768
448,32768,32768
449,34816,32768
450,36864,32768
451,38912,32768
452,40960,32768
453,43008,32768
454,45056,32768
455,47104,32768
456,49152,32768
457,51200,32768
458,53248,32768
474,30720,34816
475,32768,34816
476,34816,34816
477,36864,34816
478,38912,34816
479,40960,34816
480,43008,34816
481,45056,34816
482,47104,34816
483,49152,34816
484,51200,34816
