bag_id,x,y
3,6144,0
4,8192,0
5,10240,0
18,2048,2048
19,4096,2048
20,6144,2048
21,8192,2048
22,10240,2048
23,12288,2048
24,14336,2048
25,16384,2048
34,0,4096
35,2048,4096
36,4096,4096
37,6144,4096
38,8192,4096
39,10240,4096
40,12288,4096
41,14336,4096
42,16384,4096
43,18432,4096
44,20480,4096
45,22528,4096
51,0,6144
52,2048,6144
53,4096,6144
54,6144,6144
55,8192,6144
56,10240,6144
57,12288,6144
58,14336,6144
59,16384,6144
60,18432,6144
61,20480,6144
62,22528,6144
63,24576,6144
64,26624,6144
69,2048,8192
70,4096,8192
71,6144,8192
72,8192,8192
73,10240,8192
74,12288,8192
75,14336,8192
76,16384,8192
77,18432,8192
78,20480,8192
79,22528,8192
80,24576,8192
81,26624,8192
82,28672,8192
83,30720,8192
84,32768,8192
87,4096,10240
88,6144,10240
89,8192,10240
90,10240,10240
91,12288,10240
92,14336,10240
93,16384,10240
94,18432,10240
95,20480,10240
96,22528,10240
97,24576,10240
98,26624,10240
99,28672,10240
100,30720,10240
105,6144,12288
106,8192,12288
107,10240,12288
108,12288,12288
109,14336,12288
110,16384,12288
111,18432,12288
112,20480,12288
113,22528,12288
114,24576,12288
115,26624,12288
116,28672,12288
117,30720,12288
124,10240,14336
125,12288,14336
126,14336,14336
127,16384,14336
128,18432,14336
129,20480,14336
130,22528,14336
131,24576,14336
132,26624,14336
133,28672,14336
134,30720,14336
142,12288,16384
143,14336,16384
144,16384,16384
145,18432,16384
146,20480,16384
147,22528,16384
148,24576,16384
149,26624,16384
162,18432,18432
163,20480,18432
164,22528,18432
165,24576,18432
166,26624,18432
181,22528,20480
182,24576,20480
