bag_id,x,y
11,22528,0
12,24576,0
29,18432,2048
30,20480,2048
31,22528,2048
32,24576,2048
48,16384,4096
49,18432,4096
50,20480,4096
51,22528,4096
52,24576,4096
53,26624,4096
66,12288,6144
67,14336,6144
68,16384,6144
69,18432,6144
70,20480,6144
71,22528,6144
72,24576,6144
73,26624,6144
85,10240,8192
86,12288,8192
87,14336,8192
88,16384,8192
89,18432,8192
90,20480,8192
91,22528,8192
92,24576,8192
93,26624,8192
94,28672,8192
104,8192,10240
105,10240,10240
106,12288,10240
107,14336,10240
108,16384,10240
109,18432,10240
110,20480,10240
111,22528,10240
112,24576,10240
113,26624,10240
114,28672,10240
123,6144,12288
124,8192,12288
125,10240,12288
126,12288,12288
127,14336,12288
128,16384,12288
129,18432,12288
130,20480,12288
131,22528,12288
132,24576,12288
133,26624,12288
134,28672,12288
135,30720,12288
140,0,14336
141,2048,14336
142,4096,14336
143,6144,14336
144,8192,14336
145,10240,14336
146,12288,14336
147,14336,14336
148,16384,14336
149,18432,14336
150,20480,14336
151,22528,14336
152,24576,14336
153,26624,14336
154,28672,14336
155,30720,14336
160,0,16384
161,2048,16384
162,4096,16384
163,6144,16384
164,8192,16384
165,10240,16384
166,12288,16384
167,14336,16384
168,16384,16384
169,18432,16384
170,20480,16384
171,22528,16384
172,24576,16384
173,26624,16384
174,28672,16384
175,30720,16384
179,38912,16384
180,0,18432
181,2048,18432
182,4096,18432
183,6144,18432
184,8192,18432
185,10240,18432
186,12288,18432
187,14336,18432
188,16384,18432
189,18432,18432
190,20480,18432
191,22528,18432
192,24576,18432
193,26624,18432
194,28672,18432
195,30720,18432
196,32768,18432
199,38912,18432
200,0,20480
201,2048,20480
202,4096,20480
203,6144,20480
204,8192,20480
205,10240,20480
206,12288,20480
207,14336,20480
208,16384,20480
209,18432,20480
210,20480,20480
211,22528,20480
212,24576,20480
213,26624,20480
214,28672,20480
215,30720,20480
216,32768,20480
220,0,22528
221,2048,22528
222,4096,22528
223,6144,22528
224,8192,22528
225,10240,22528
226,12288,22528
227,14336,22528
228,16384,22528
229,18432,22528
230,20480,22528
231,22528,22528
232,24576,22528
233,26624,22528
234,28672,22528
235,30720,22528
236,32768,22528
240,0,24576
241,2048,24576
242,4096,24576
243,6144,24576
244,8192,24576
245,10240,24576
246,12288,24576
247,14336,24576
248,16384,24576
249,18432,24576
250,20480,24576
251,22528,24576
252,24576,24576
253,26624,24576
254,28672,24576
255,30720,24576
256,32768,24576
257,34816,24576
261,2048,26624
262,4096,26624
263,6144,26624
264,8192,26624
265,10240,26624
266,12288,26624
267,14336,26624
268,16384,26624
269,18432,26624
270,20480,26624
271,22528,26624
272,24576,26624
273,26624,26624
274,28672,26624
275,30720,26624
276,32768,26624
277,34816,26624
281,2048,28672
282,4096,28672
283,6144,28672
284,8192,28672
285,10240,28672
286,12288,28672
287,14336,28672
288,16384,28672
289,18432,28672
290,20480,28672
291,22528,28672
292,24576,28672
293,26624,28672
294,28672,28672
295,30720,28672
296,32768,28672
297,34816,28672
298,36864,28672
301,2048,30720
302,4096,30720
303,6144,30720
304,8192,30720
305,10240,30720
306,12288,30720
307,14336,30720
308,16384,30720
309,18432,30720
310,20480,30720
311,22528,30720
312,24576,30720
313,26624,30720
314,28672,30720
315,30720,30720
316,32768,30720
317,34816,30720
318,36864,30720
321,2048,32768
322,4096,32768
323,6144,32768
324,8192,32768
325,10240,32768
326,12288,32768
327,14336,32768
328,16384,32768
329,18432,32768
330,20480,32768
331,22528,32768
332,24576,32768
333,26624,32768
334,28672,32768
335,30720,32768
336,32768,32768
337,34816,32768
338,36864,32768
339,38912,32768
342,4096,34816
343,6144,34816
344,8192,34816
345,10240,34816
346,12288,34816
347,14336,34816
348,16384,34816
349,18432,34816
350,20480,34816
351,22528,34816
352,24576,34816
353,26624,34816
354,28672,34816
355,30720,34816
356,32768,34816
357,34816,34816
358,36864,34816
359,38912,34816
364,8192,36864
365,10240,36864
366,12288,36864
367,14336,36864
368,16384,36864
369,18432,36864
370,20480,36864
371,22528,36864
372,24576,36864
373,26624,36864
374,28672,36864
375,30720,36864
376,32768,36864
377,34816,36864
378,36864,36864
379,38912,36864
386,12288,38912
387,14336,38912
388,16384,38912
389,18432,38912
390,20480,38912
391,22528,38912
392,24576,38912
393,26624,38912
394,28672,38912
395,30720,38912
396,32768,38912
397,34816,38912
398,36864,38912
399,38912,38912
402,4096,40960
408,16384,40960
409,18432,40960
410,20480,40960
411,22528,40960
412,24576,40960
413,26624,40960
414,28672,40960
415,30720,40960
416,32768,40960
417,34816,40960
418,36864,40960
419,38912,40960
429,18432,43008
430,20480,43008
431,22528,43008
432,24576,43008
