bag_id,x,y
9,18432,0
10,20480,0
11,22528,0
12,24576,0
26,14336,2048
27,16384,2048
28,18432,2048
29,20480,2048
30,22528,2048
31,24576,2048
32,26624,2048
46,16384,4096
47,18432,4096
48,20480,4096
49,22528,4096
50,24576,4096
64,14336,6144
65,16384,6144
66,18432,6144
67,20480,6144
68,22528,6144
76,0,8192
83,14336,8192
84,16384,8192
85,18432,8192
86,20480,8192
95,0,10240
96,2048,10240
97,4096,10240
98,6144,10240
107,24576,10240
108,26624,10240
109,28672,10240
110,30720,10240
111,32768,10240
114,0,12288
115,2048,12288
116,4096,12288
117,6144,12288
124,20480,12288
125,22528,12288
126,24576,12288
127,26624,12288
128,28672,12288
129,30720,12288
130,32768,12288
131,34816,12288
133,0,14336
141,16384,14336
142,18432,14336
143,20480,14336
144,22528,14336
145,24576,14336
146,26624,14336
147,28672,14336
148,30720,14336
149,32768,14336
150,34816,14336
157,10240,16384
159,14336,16384
160,16384,16384
161,18432,16384
162,20480,16384
163,22528,16384
164,24576,16384
165,26624,16384
166,28672,16384
167,30720,16384
168,32768,16384
169,34816,16384
170,36864,16384
175,8192,18432
176,10240,18432
177,12288,18432
179,16384,18432
180,18432,18432
181,20480,18432
182,22528,18432
183,24576,18432
184,26624,18432
185,28672,18432
186,30720,18432
187,32768,18432
188,34816,18432
189,36864,18432
199,18432,20480
200,20480,20480
201,22528,20480
202,24576,20480
203,26624,20480
204,28672,20480
205,30720,20480
206,32768,20480
207,34816,20480
208,36864,20480
