bag_id,x,y
10,20480,0
33,16384,2048
34,18432,2048
35,20480,2048
36,22528,2048
37,24576,2048
38,26624,2048
39,28672,2048
40,30720,2048
41,32768,2048
42,34816,2048
43,36864,2048
44,38912,2048
55,10240,4096
56,12288,4096
57,14336,4096
58,16384,4096
59,18432,4096
60,20480,4096
61,22528,4096
62,24576,4096
63,26624,4096
64,28672,4096
65,30720,4096
66,32768,4096
67,34816,4096
68,36864,4096
69,38912,4096
70,40960,4096
79,8192,6144
80,10240,6144
81,12288,6144
82,14336,6144
83,16384,6144
84,18432,6144
85,20480,6144
86,22528,6144
87,24576,6144
88,26624,6144
89,28672,6144
90,30720,6144
91,32768,6144
92,34816,6144
93,36864,6144
94,38912,6144
95,40960,6144
103,6144,8192
104,8192,8192
105,10240,8192
106,12288,8192
107,14336,8192
108,16384,8192
109,18432,8192
110,20480,8192
111,22528,8192
112,24576,8192
113,26624,8192
114,28672,8192
115,30720,8192
116,32768,8192
117,34816,8192
118,36864,8192
119,38912,8192
120,40960,8192
121,43008,8192
128,6144,10240
129,8192,10240
130,10240,10240
131,12288,10240
132,14336,10240
133,16384,10240
134,18432,10240
135,20480,10240
136,22528,10240
137,24576,10240
138,26624,10240
139,28672,10240
140,30720,10240
141,32768,10240
142,34816,10240
143,36864,10240
144,38912,10240
145,40960,10240
146,43008,10240
147,45056,10240
152,4096,12288
153,6144,12288
154,8192,12288
155,10240,12288
156,12288,12288
157,14336,12288
158,16384,12288
159,18432,12288
160,20480,12288
161,22528,12288
162,24576,12288
163,26624,12288
164,28672,12288
165,30720,12288
166,32768,12288
167,34816,12288
168,36864,12288
169,38912,12288
170,40960,12288
171,43008,12288
172,45056,12288
173,47104,12288
176,2048,14336
178,6144,14336
179,8192,14336
180,10240,14336
181,12288,14336
182,14336,14336
183,16384,14336
184,18432,14336
185,20480,14336
186,22528,14336
187,24576,14336
188,26624,14336
189,28672,14336
190,30720,14336
191,32768,14336
192,34816,14336
193,36864,14336
194,38912,14336
195,40960,14336
196,43008,14336
197,45056,14336
198,47104,14336
199,49152,14336
202,4096,16384
203,6144,16384
204,8192,16384
205,10240,16384
206,12288,16384
207,14336,16384
208,16384,16384
209,18432,16384
210,20480,16384
211,22528,16384
212,24576,16384
213,26624,16384
214,28672,16384
215,30720,16384
216,32768,16384
217,34816,16384
218,36864,16384
219,38912,16384
220,40960,16384
221,43008,16384
222,45056,16384
223,47104,16384
224,49152,16384
226,2048,18432
227,4096,18432
228,6144,18432
229,8192,18432
230,10240,18432
231,12288,18432
232,14336,18432
233,16384,18432
234,18432,18432
235,20480,18432
236,22528,18432
237,24576,18432
238,26624,18432
239,28672,18432
240,30720,18432
241,32768,18432
242,34816,18432
243,36864,18432
244,38912,18432
245,40960,18432
246,43008,18432
247,45056,18432
248,47104,18432
251,2048,20480
252,4096,20480
253,6144,20480
254,8192,20480
255,10240,20480
256,12288,20480
257,14336,20480
258,16384,20480
259,18432,20480
260,20480,20480
261,22528,20480
262,24576,20480
263,26624,20480
264,28672,20480
265,30720,20480
266,32768,20480
267,34816,20480
268,36864,20480
269,38912,20480
270,40960,20480
271,43008,20480
276,2048,22528
277,4096,22528
278,6144,22528
279,8192,22528
280,10240,22528
281,12288,22528
282,14336,22528
283,16384,22528
284,18432,22528
285,20480,22528
286,22528,22528
287,24576,22528
288,26624,22528
289,28672,22528
290,30720,22528
291,32768,22528
292,34816,22528
293,36864,22528
294,38912,22528
295,40960,22528
296,43008,22528
301,2048,24576
302,4096,24576
303,6144,24576
304,8192,24576
305,10240,24576
306,12288,24576
307,14336,24576
308,16384,24576
309,18432,24576
310,20480,24576
311,22528,24576
312,24576,24576
313,26624,24576
314,28672,24576
315,30720,24576
316,32768,24576
317,34816,24576
318,36864,24576
319,38912,24576
326,2048,26624
327,4096,26624
328,6144,26624
329,8192,26624
330,10240,26624
331,12288,26624
332,14336,26624
333,16384,26624
334,18432,26624
335,20480,26624
336,22528,26624
337,24576,26624
338,26624,26624
339,28672,26624
340,30720,26624
341,32768,26624
342,34816,26624
351,2048,28672
352,4096,28672
353,6144,28672
354,8192,28672
355,10240,28672
356,12288,28672
357,14336,28672
358,16384,28672
359,18432,28672
360,20480,28672
361,22528,28672
362,24576,28672
363,26624,28672
364,28672,28672
365,30720,28672
366,32768,28672
375,0,30720
376,2048,30720
377,4096,30720
378,6144,30720
379,8192,30720
380,10240,30720
381,12288,30720
382,14336,30720
383,16384,30720
384,18432,30720
385,20480,30720
386,22528,30720
387,24576,30720
388,26624,30720
401,2048,32768
402,4096,32768
403,6144,32768
404,8192,32768
405,10240,32768
406,12288,32768
407,14336,32768
408,16384,32768
409,18432,32768
410,20480,32768
411,22528,32768
427,4096,34816
428,6144,34816
429,8192,34816
430,10240,34816
431,12288,34816
432,14336,34816
433,16384,34816
434,18432,34816
435,20480,34816
