bag_id,x,y
15,30720,0
16,32768,0
17,34816,0
18,36864,0
30,20480,2048
32,24576,2048
33,26624,2048
34,28672,2048
35,30720,2048
36,32768,2048
37,34816,2048
38,36864,2048
39,38912,2048
47,14336,4096
48,16384,4096
50,20480,4096
51,22528,4096
52,24576,4096
53,26624,4096
54,28672,4096
55,30720,4096
56,32768,4096
57,34816,4096
58,36864,4096
59,38912,4096
65,10240,6144
67,14336,6144
69,18432,6144
70,20480,6144
71,22528,6144
72,24576,6144
73,26624,6144
74,28672,6144
75,30720,6144
76,32768,6144
77,34816,6144
78,36864,6144
79,38912,6144
83,6144,8192
84,8192,8192
88,16384,8192
89,18432,8192
90,20480,8192
91,22528,8192
92,24576,8192
93,26624,8192
94,28672,8192
95,30720,8192
96,32768,8192
97,34816,8192
98,36864,8192
99,38912,8192
101,2048,10240
102,4096,10240
103,6144,10240
104,8192,10240
105,10240,10240
106,12288,10240
108,16384,10240
109,18432,10240
110,20480,10240
111,22528,10240
112,24576,10240
113,26624,10240
114,28672,10240
115,30720,10240
116,32768,10240
117,34816,10240
118,36864,10240
119,38912,10240
120,0,12288
121,2048,12288
122,4096,12288
123,6144,12288
124,8192,12288
125,10240,12288
126,12288,12288
129,18432,12288
130,20480,12288
131,22528,12288
132,24576,12288
133,26624,12288
134,28672,12288
135,30720,12288
136,32768,12288
137,34816,12288
138,36864,12288
140,0,14336
141,2048,14336
142,4096,14336
143,6144,14336
144,8192,14336
145,10240,14336
146,12288,14336
149,18432,14336
150,20480,14336
151,22528,14336
152,24576,14336
153,26624,14336
154,28672,14336
155,30720,14336
156,32768,14336
157,34816,14336
158,36864,14336
160,0,16384
161,2048,16384
162,4096,16384
163,6144,16384
164,8192,16384
165,10240,16384
166,12288,16384
167,14336,16384
170,20480,16384
171,22528,16384
172,24576,16384
173,26624,16384
174,28672,16384
175,30720,16384
176,32768,16384
177,34816,16384
178,36864,16384
180,0,18432
181,2048,18432
182,4096,18432
183,6144,18432
184,8192,18432
185,10240,18432
186,12288,18432
187,14336,18432
190,20480,18432
191,22528,18432
192,24576,18432
193,26624,18432
194,28672,18432
195,30720,18432
196,32768,18432
197,34816,18432
198,36864,18432
200,0,20480
201,2048,20480
202,4096,20480
203,6144,20480
204,8192,20480
205,10240,20480
206,12288,20480
207,14336,20480
211,22528,20480
212,24576,20480
213,26624,20480
214,28672,20480
215,30720,20480
216,32768,20480
217,34816,20480
218,36864,20480
222,4096,22528
223,6144,22528
224,8192,22528
225,10240,22528
226,12288,22528
227,14336,22528
228,16384,22528
231,22528,22528
234,28672,22528
235,30720,22528
236,32768,22528
237,34816,22528
238,36864,22528
255,30720,24576
256,32768,24576
257,34816,24576
258,36864,24576
275,30720,26624
276,32768,26624
