bag_id,x,y
1,2048,0
2,4096,0
4,8192,0
5,10240,0
18,0,2048
19,2048,2048
20,4096,2048
21,6144,2048
22,8192,2048
23,10240,2048
24,12288,2048
25,14336,2048
36,0,4096
37,2048,4096
38,4096,4096
39,6144,4096
40,8192,4096
41,10240,4096
42,12288,4096
43,14336,4096
44,16384,4096
55,2048,6144
56,4096,6144
57,6144,6144
58,8192,6144
59,10240,6144
60,12288,6144
61,14336,6144
74,4096,8192
75,6144,8192
76,8192,8192
77,10240,8192
78,12288,8192
79,14336,8192
82,20480,8192
85,26624,8192
93,6144,10240
94,8192,10240
95,10240,10240
96,12288,10240
97,14336,10240
100,20480,10240
101,22528,10240
102,24576,10240
103,26624,10240
111,6144,12288
112,8192,12288
113,10240,12288
114,12288,12288
115,14336,12288
117,18432,12288
118,20480,12288
119,22528,12288
120,24576,12288
121,26624,12288
122,28672,12288
123,30720,12288
125,34816,12288
129,6144,14336
130,8192,14336
131,10240,14336
132,12288,14336
135,18432,14336
136,20480,14336
137,22528,14336
138,24576,14336
139,26624,14336
140,28672,14336
141,30720,14336
142,32768,14336
147,6144,16384
148,8192,16384
149,10240,16384
150,12288,16384
153,18432,16384
154,20480,16384
155,22528,16384
156,24576,16384
157,26624,16384
158,28672,16384
159,30720,16384
160,32768,16384
161,34816,16384
166,8192,18432
167,10240,18432
168,12288,18432
170,16384,18432
171,18432,18432
172,20480,18432
173,22528,18432
174,24576,18432
175,26624,18432
176,28672,18432
177,30720,18432
178,32768,18432
179,34816,18432
184,8192,20480
185,10240,20480
188,16384,20480
189,18432,20480
190,20480,20480
191,22528,20480
192,24576,20480
193,26624,20480
194,28672,20480
195,30720,20480
196,32768,20480
197,34816,20480
201,6144,22528
202,8192,22528
203,10240,22528
206,16384,22528
207,18432,22528
208,20480,22528
209,22528,22528
210,24576,22528
211,26624,22528
212,28672,22528
213,30720,22528
214,32768,22528
215,34816,22528
221,10240,24576
224,16384,24576
225,18432,24576
226,20480,24576
227,22528,24576
228,24576,24576
229,26624,24576
230,28672,24576
231,30720,24576
232,32768,24576
233,34816,24576
242,16384,26624
243,18432,26624
244,20480,26624
245,22528,26624
246,24576,26624
247,26624,26624
249,30720,26624
250,32768,26624
251,34816,26624
259,14336,28672
260,16384,28672
261,18432,28672
262,20480,28672
263,22528,28672
264,24576,28672
265,26624,28672
266,28672,28672
267,30720,28672
268,32768,28672
277,14336,30720
278,16384,30720
279,18432,30720
280,20480,30720
281,22528,30720
282,24576,30720
283,26624,30720
284,28672,30720
285,30720,30720
286,32768,30720
296,16384,32768
297,18432,32768
298,20480,32768
299,22528,32768
300,24576,32768
301,26624,32768
302,28672,32768
303,30720,32768
304,32768,32768
