bag_id,x,y
18,36864,0
19,38912,0
48,32768,2048
49,34816,2048
50,36864,2048
51,38912,2048
52,40960,2048
53,43008,2048
78,28672,4096
79,30720,4096
80,32768,4096
81,34816,4096
82,36864,4096
83,38912,4096
84,40960,4096
85,43008,4096
86,45056,4096
87,47104,4096
107,22528,6144
108,24576,6144
109,26624,6144
110,28672,6144
111,30720,6144
112,32768,6144
113,34816,6144
114,36864,6144
115,38912,6144
116,40960,6144
117,43008,6144
118,45056,6144
119,47104,6144
120,49152,6144
135,14336,8192
136,16384,8192
137,18432,8192
138,20480,8192
139,22528,8192
140,24576,8192
141,26624,8192
142,28672,8192
143,30720,8192
144,32768,8192
145,34816,8192
146,36864,8192
147,38912,8192
148,40960,8192
149,43008,8192
150,45056,8192
151,47104,8192
152,49152,8192
153,51200,8192
154,53248,8192
164,8192,10240
165,10240,10240
166,12288,10240
167,14336,10240
168,16384,10240
169,18432,10240
170,20480,10240
171,22528,10240
172,24576,10240
173,26624,10240
174,28672,10240
175,30720,10240
176,32768,10240
177,34816,10240
178,36864,10240
179,38912,10240
180,40960,10240
181,43008,10240
182,45056,10240
183,47104,10240
184,49152,10240
185,51200,10240
186,53248,10240
187,55296,10240
188,57344,10240
194,4096,12288
195,6144,12288
196,8192,12288
197,10240,12288
198,12288,12288
199,14336,12288
200,16384,12288
201,18432,12288
202,20480,12288
203,22528,12288
204,24576,12288
205,26624,12288
206,28672,12288
207,30720,12288
208,32768,12288
209,34816,12288
210,36864,12288
211,38912,12288
212,40960,12288
213,43008,12288
214,45056,12288
215,47104,12288
216,49152,12288
217,51200,12288
218,53248,12288
219,55296,12288
220,57344,12288
221,59392,12288
222,61440,12288
224,0,14336
225,2048,14336
226,4096,14336
227,6144,14336
228,8192,14336
229,10240,14336
230,12288,14336
231,14336,14336
232,16384,14336
233,18432,14336
234,20480,14336
235,22528,14336
236,24576,14336
237,26624,14336
238,28672,14336
239,30720,14336
240,32768,14336
241,34816,14336
242,36864,14336
243,38912,14336
244,40960,14336
245,43008,14336
246,45056,14336
247,47104,14336
248,49152,14336
249,51200,14336
250,53248,14336
251,55296,14336
252,57344,14336
253,59392,14336
254,61440,14336
255,63488,14336
256,0,16384
257,2048,16384
258,4096,16384
259,6144,16384
260,8192,16384
261,10240,16384
262,12288,16384
263,14336,16384
264,16384,16384
265,18432,16384
266,20480,16384
267,22528,16384
268,24576,16384
269,26624,16384
270,28672,16384
271,30720,16384
272,32768,16384
273,34816,16384
274,36864,16384
275,38912,16384
276,40960,16384
277,43008,16384
278,45056,16384
279,47104,16384
280,49152,16384
281,51200,16384
282,53248,16384
283,55296,16384
284,57344,16384
285,59392,16384
286,61440,16384
287,63488,16384
288,0,18432
289,2048,18432
290,4096,18432
291,6144,18432
292,8192,18432
293,10240,18432
294,12288,18432
295,14336,18432
296,16384,18432
297,18432,18432
298,20480,18432
299,22528,18432
300,24576,18432
301,26624,18432
302,28672,18432
303,30720,18432
304,32768,18432
305,34816,18432
306,36864,18432
307,38912,18432
308,40960,18432
309,43008,18432
310,45056,18432
311,47104,18432
312,49152,18432
313,51200,18432
314,53248,18432
315,55296,18432
316,57344,18432
317,59392,18432
318,61440,18432
320,0,20480
321,2048,20480
322,4096,20480
323,6144,20480
324,8192,20480
325,10240,20480
326,12288,20480
327,14336,20480
328,16384,20480
329,18432,20480
330,20480,20480
331,22528,20480
332,24576,20480
333,26624,20480
334,28672,20480
335,30720,20480
336,32768,20480
337,34816,20480
338,36864,20480
339,38912,20480
340,40960,20480
341,43008,20480
342,45056,20480
343,47104,20480
344,49152,20480
345,51200,20480
346,53248,20480
347,55296,20480
348,57344,20480
349,59392,20480
353,2048,22528
354,4096,22528
355,6144,22528
356,8192,22528
357,10240,22528
358,12288,22528
359,14336,22528
360,16384,22528
361,18432,22528
362,20480,22528
363,22528,22528
364,24576,22528
365,26624,22528
366,28672,22528
367,30720,22528
