bag_id,x,y
5,10240,0
6,12288,0
7,14336,0
22,8192,2048
23,10240,2048
24,12288,2048
25,14336,2048
26,16384,2048
27,18432,2048
39,6144,4096
40,8192,4096
41,10240,4096
42,12288,4096
43,14336,4096
44,16384,4096
45,18432,4096
46,20480,4096
56,4096,6144
57,6144,6144
58,8192,6144
59,10240,6144
60,12288,6144
61,14336,6144
62,16384,6144
63,18432,6144
64,20480,6144
65,22528,6144
73,2048,8192
74,4096,8192
75,6144,8192
76,8192,8192
77,10240,8192
78,12288,8192
79,14336,8192
80,16384,8192
81,18432,8192
82,20480,8192
83,22528,8192
91,2048,10240
92,4096,10240
93,6144,10240
94,8192,10240
95,10240,10240
96,12288,10240
97,14336,10240
98,16384,10240
99,18432,10240
100,20480,10240
101,22528,10240
108,0,12288
109,2048,12288
110,4096,12288
111,6144,12288
112,8192,12288
113,10240,12288
114,12288,12288
115,14336,12288
116,16384,12288
117,18432,12288
126,0,14336
127,2048,14336
128,4096,14336
129,6144,14336
130,8192,14336
131,10240,14336
132,12288,14336
133,14336,14336
134,16384,14336
135,18432,14336
145,2048,16384
146,4096,16384
147,6144,16384
148,8192,16384
149,10240,16384
150,12288,16384
151,14336,16384
152,16384,16384
153,18432,16384
154,20480,16384
155,22528,16384
156,24576,16384
157,26624,16384
164,4096,18432
165,6144,18432
166,8192,18432
167,10240,18432
168,12288,18432
169,14336,18432
170,16384,18432
171,18432,18432
172,20480,18432
173,22528,18432
174,24576,18432
175,26624,18432
176,28672,18432
183,6144,20480
184,8192,20480
185,10240,20480
186,12288,20480
187,14336,20480
188,16384,20480
189,18432,20480
190,20480,20480
191,22528,20480
192,24576,20480
193,26624,20480
194,28672,20480
195,30720,20480
201,6144,22528
202,8192,22528
203,10240,22528
204,12288,22528
205,14336,22528
206,16384,22528
207,18432,22528
208,20480,22528
209,22528,22528
210,24576,22528
211,26624,22528
212,28672,22528
213,30720,22528
214,32768,22528
220,8192,24576
221,10240,24576
222,12288,24576
223,14336,24576
224,16384,24576
225,18432,24576
226,20480,24576
227,22528,24576
228,24576,24576
229,26624,24576
230,28672,24576
231,30720,24576
232,32768,24576
233,34816,24576
239,10240,26624
240,12288,26624
241,14336,26624
242,16384,26624
243,18432,26624
244,20480,26624
245,22528,26624
246,24576,26624
247,26624,26624
248,28672,26624
249,30720,26624
250,32768,26624
251,34816,26624
259,14336,28672
260,16384,28672
261,18432,28672
262,20480,28672
263,22528,28672
264,24576,28672
265,26624,28672
266,28672,28672
267,30720,28672
268,32768,28672
269,34816,28672
279,18432,30720
280,20480,30720
281,22528,30720
282,24576,30720
283,26624,30720
284,28672,30720
285,30720,30720
286,32768,30720
287,34816,30720
300,24576,32768
301,26624,32768
302,28672,32768
303,30720,32768
304,32768,32768
305,34816,32768
320,28672,34816
321,30720,34816
322,32768,34816
323,34816,34816
