bag_id,x,y
19,38912,0
20,40960,0
21,43008,0
22,45056,0
23,47104,0
24,49152,0
45,28672,2048
46,30720,2048
50,38912,2048
51,40960,2048
52,43008,2048
53,45056,2048
54,47104,2048
55,49152,2048
56,51200,2048
74,24576,4096
75,26624,4096
76,28672,4096
77,30720,4096
81,38912,4096
82,40960,4096
83,43008,4096
84,45056,4096
85,47104,4096
86,49152,4096
87,51200,4096
88,53248,4096
103,20480,6144
104,22528,6144
105,24576,6144
106,26624,6144
107,28672,6144
108,30720,6144
112,38912,6144
113,40960,6144
114,43008,6144
115,45056,6144
116,47104,6144
117,49152,6144
118,51200,6144
119,53248,6144
132,16384,8192
133,18432,8192
134,20480,8192
135,22528,8192
136,24576,8192
137,26624,8192
138,28672,8192
139,30720,8192
144,40960,8192
145,43008,8192
146,45056,8192
147,47104,8192
148,49152,8192
149,51200,8192
150,53248,8192
162,14336,10240
163,16384,10240
164,18432,10240
165,20480,10240
166,22528,10240
167,24576,10240
168,26624,10240
169,28672,10240
170,30720,10240
176,43008,10240
177,45056,10240
178,47104,10240
179,49152,10240
180,51200,10240
181,53248,10240
192,12288,12288
193,14336,12288
194,16384,12288
195,18432,12288
196,20480,12288
197,22528,12288
198,24576,12288
199,26624,12288
200,28672,12288
201,30720,12288
208,45056,12288
209,47104,12288
210,49152,12288
223,12288,14336
224,14336,14336
225,16384,14336
226,18432,14336
227,20480,14336
228,22528,14336
230,26624,14336
231,28672,14336
232,30720,14336
251,6144,16384
252,8192,16384
253,10240,16384
254,12288,16384
255,14336,16384
256,16384,16384
257,18432,16384
258,20480,16384
261,26624,16384
262,28672,16384
263,30720,16384
281,4096,18432
282,6144,18432
283,8192,18432
284,10240,18432
285,12288,18432
286,14336,18432
287,16384,18432
288,18432,18432
292,26624,18432
293,28672,18432
294,30720,18432
304,51200,18432
310,0,20480
311,2048,20480
312,4096,20480
313,6144,20480
314,8192,20480
315,10240,20480
316,12288,20480
317,14336,20480
318,16384,20480
319,18432,20480
320,20480,20480
323,26624,20480
324,28672,20480
325,30720,20480
332,45056,20480
333,47104,20480
334,49152,20480
335,51200,20480
336,53248,20480
341,0,22528
342,2048,22528
343,4096,22528
344,6144,22528
345,8192,22528
346,10240,22528
347,12288,22528
348,14336,22528
349,16384,22528
350,18432,22528
351,20480,22528
354,26624,22528
355,28672,22528
356,30720,22528
357,32768,22528
363,45056,22528
364,47104,22528
365,49152,22528
366,51200,22528
367,53248,22528
369,57344,22528
370,59392,22528
371,61440,22528
373,2048,24576
374,4096,24576
375,6144,24576
376,8192,24576
377,10240,24576
378,12288,24576
379,14336,24576
380,16384,24576
381,18432,24576
382,20480,24576
383,22528,24576
384,24576,24576
385,26624,24576
386,28672,24576
387,30720,24576
388,32768,24576
395,47104,24576
396,49152,24576
397,51200,24576
398,53248,24576
400,57344,24576
401,59392,24576
402,61440,24576
404,2048,26624
405,4096,26624
406,6144,26624
407,8192,26624
408,10240,26624
409,12288,26624
410,14336,26624
411,16384,26624
412,18432,26624
413,20480,26624
414,22528,26624
415,24576,26624
416,26624,26624
417,28672,26624
418,30720,26624
419,32768,26624
430,55296,26624
431,57344,26624
432,59392,26624
433,61440,26624
436,4096,28672
437,6144,28672
438,8192,28672
439,10240,28672
440,12288,28672
441,14336,28672
442,16384,28672
443,18432,28672
444,20480,28672
445,22528,28672
446,24576,28672
447,26624,28672
448,28672,28672
449,30720,28672
450,32768,28672
461,55296,28672
462,57344,28672
463,59392,28672
464,61440,28672
468,6144,30720
469,8192,30720
470,10240,30720
471,12288,30720
472,14336,30720
473,16384,30720
474,18432,30720
475,20480,30720
476,22528,30720
477,24576,30720
478,26624,30720
479,28672,30720
480,30720,30720
481,32768,30720
492,55296,30720
493,57344,30720
499,6144,32768
500,8192,32768
501,10240,32768
502,12288,32768
503,14336,32768
504,16384,32768
505,18432,32768
506,20480,32768
507,22528,32768
508,24576,32768
509,26624,32768
510,28672,32768
511,30720,32768
512,32768,32768
523,55296,32768
531,8192,34816
532,10240,34816
533,12288,34816
534,14336,34816
535,16384,34816
536,18432,34816
537,20480,34816
538,22528,34816
539,24576,34816
540,26624,34816
541,28672,34816
542,30720,34816
543,32768,34816
563,10240,36864
564,12288,36864
565,14336,36864
566,16384,36864
567,18432,36864
568,20480,36864
569,22528,36864
570,24576,36864
571,26624,36864
572,28672,36864
573,30720,36864
574,32768,36864
595,12288,38912
596,14336,38912
597,16384,38912
598,18432,38912
599,20480,38912
600,22528,38912
601,24576,38912
602,26624,38912
603,28672,38912
604,30720,38912
628,16384,40960
629,18432,40960
630,20480,40960
631,22528,40960
632,24576,40960
633,26624,40960
661,20480,43008
662,22528,43008
663,24576,43008
