bag_id,x,y
13,26624,0
14,28672,0
15,30720,0
29,14336,2048
30,16384,2048
31,18432,2048
32,20480,2048
34,24576,2048
35,26624,2048
36,28672,2048
37,30720,2048
49,10240,4096
50,12288,4096
51,14336,4096
52,16384,4096
53,18432,4096
54,20480,4096
56,24576,4096
57,26624,4096
58,28672,4096
59,30720,4096
60,32768,4096
71,10240,6144
72,12288,6144
73,14336,6144
74,16384,6144
75,18432,6144
76,20480,6144
77,22528,6144
78,24576,6144
79,26624,6144
80,28672,6144
81,30720,6144
82,32768,6144
92,8192,8192
93,10240,8192
94,12288,8192
95,14336,8192
96,16384,8192
97,18432,8192
98,20480,8192
99,22528,8192
100,24576,8192
101,26624,8192
102,28672,8192
103,30720,8192
104,32768,8192
105,34816,8192
114,8192,10240
115,10240,10240
116,12288,10240
117,14336,10240
118,16384,10240
119,18432,10240
120,20480,10240
121,22528,10240
122,24576,10240
123,26624,10240
124,28672,10240
125,30720,10240
126,32768,10240
127,34816,10240
128,36864,10240
136,8192,12288
137,10240,12288
138,12288,12288
139,14336,12288
140,16384,12288
141,18432,12288
142,20480,12288
143,22528,12288
144,24576,12288
145,26624,12288
146,28672,12288
147,30720,12288
148,32768,12288
149,34816,12288
150,36864,12288
158,8192,14336
159,10240,14336
160,12288,14336
161,14336,14336
162,16384,14336
163,18432,14336
164,20480,14336
165,22528,14336
167,26624,14336
168,28672,14336
169,30720,14336
170,32768,14336
171,34816,14336
172,36864,14336
179,6144,16384
180,8192,16384
181,10240,16384
182,12288,16384
183,14336,16384
184,16384,16384
185,18432,16384
186,20480,16384
187,22528,16384
188,24576,16384
189,26624,16384
190,28672,16384
191,30720,16384
192,32768,16384
193,34816,16384
194,36864,16384
195,38912,16384
201,6144,18432
202,8192,18432
203,10240,18432
204,12288,18432
205,14336,18432
206,16384,18432
207,18432,18432
208,20480,18432
209,22528,18432
210,24576,18432
211,26624,18432
212,28672,18432
213,30720,18432
214,32768,18432
215,34816,18432
216,36864,18432
217,38912,18432
218,40960,18432
222,4096,20480
223,6144,20480
224,8192,20480
225,10240,20480
226,12288,20480
227,14336,20480
228,16384,20480
229,18432,20480
230,20480,20480
231,22528,20480
232,24576,20480
233,26624,20480
234,28672,20480
235,30720,20480
236,32768,20480
237,34816,20480
238,36864,20480
239,38912,20480
240,40960,20480
241,43008,20480
244,4096,22528
245,6144,22528
246,8192,22528
247,10240,22528
248,12288,22528
249,14336,22528
250,16384,22528
251,18432,22528
252,20480,22528
253,22528,22528
254,24576,22528
255,26624,22528
256,28672,22528
257,30720,22528
258,32768,22528
259,34816,22528
260,36864,22528
261,38912,22528
262,40960,22528
263,43008,22528
266,4096,24576
267,6144,24576
268,8192,24576
269,10240,24576
270,12288,24576
271,14336,24576
272,16384,24576
273,18432,24576
274,20480,24576
275,22528,24576
276,24576,24576
277,26624,24576
278,28672,24576
279,30720,24576
280,32768,24576
281,34816,24576
282,36864,24576
283,38912,24576
284,40960,24576
285,43008,24576
288,4096,26624
289,6144,26624
290,8192,26624
291,10240,26624
292,12288,26624
293,14336,26624
294,16384,26624
295,18432,26624
296,20480,26624
297,22528,26624
298,24576,26624
299,26624,26624
300,28672,26624
301,30720,26624
302,32768,26624
303,34816,26624
304,36864,26624
305,38912,26624
306,40960,26624
307,43008,26624
309,2048,28672
310,4096,28672
311,6144,28672
312,8192,28672
313,10240,28672
314,12288,28672
315,14336,28672
316,16384,28672
317,18432,28672
318,20480,28672
319,22528,28672
320,24576,28672
321,26624,28672
322,28672,28672
323,30720,28672
324,32768,28672
325,34816,28672
326,36864,28672
327,38912,28672
328,40960,28672
329,43008,28672
331,2048,30720
332,4096,30720
333,6144,30720
334,8192,30720
335,10240,30720
336,12288,30720
337,14336,30720
338,16384,30720
339,18432,30720
340,20480,30720
341,22528,30720
342,24576,30720
343,26624,30720
344,28672,30720
345,30720,30720
346,32768,30720
347,34816,30720
348,36864,30720
349,38912,30720
350,40960,30720
351,43008,30720
353,2048,32768
354,4096,32768
355,6144,32768
356,8192,32768
357,10240,32768
358,12288,32768
359,14336,32768
360,16384,32768
361,18432,32768
362,20480,32768
363,22528,32768
364,24576,32768
365,26624,32768
366,28672,32768
367,30720,32768
368,32768,32768
369,34816,32768
370,36864,32768
371,38912,32768
372,40960,32768
373,43008,32768
375,2048,34816
376,4096,34816
377,6144,34816
378,8192,34816
379,10240,34816
380,12288,34816
381,14336,34816
382,16384,34816
383,18432,34816
384,20480,34816
385,22528,34816
386,24576,34816
387,26624,34816
388,28672,34816
389,30720,34816
390,32768,34816
391,34816,34816
392,36864,34816
393,38912,34816
394,40960,34816
395,43008,34816
397,2048,36864
398,4096,36864
399,6144,36864
400,8192,36864
401,10240,36864
402,12288,36864
403,14336,36864
404,16384,36864
405,18432,36864
406,20480,36864
407,22528,36864
408,24576,36864
409,26624,36864
410,28672,36864
411,30720,36864
412,32768,36864
413,34816,36864
414,36864,36864
415,38912,36864
416,40960,36864
417,43008,36864
418,0,38912
419,2048,38912
420,4096,38912
421,6144,38912
422,8192,38912
423,10240,38912
424,12288,38912
425,14336,38912
426,16384,38912
427,18432,38912
428,20480,38912
429,22528,38912
430,24576,38912
431,26624,38912
432,28672,38912
433,30720,38912
434,32768,38912
435,34816,38912
436,36864,38912
437,38912,38912
438,40960,38912
440,0,40960
441,2048,40960
442,4096,40960
443,6144,40960
444,8192,40960
445,10240,40960
446,12288,40960
447,14336,40960
448,16384,40960
449,18432,40960
450,20480,40960
451,22528,40960
452,24576,40960
453,26624,40960
454,28672,40960
455,30720,40960
456,32768,40960
457,34816,40960
462,0,43008
463,2048,43008
464,4096,43008
465,6144,43008
466,8192,43008
467,10240,43008
468,12288,43008
469,14336,43008
470,16384,43008
471,18432,43008
472,20480,43008
473,22528,43008
474,24576,43008
475,26624,43008
476,28672,43008
477,30720,43008
484,0,45056
485,2048,45056
490,12288,45056
491,14336,45056
492,16384,45056
493,18432,45056
494,20480,45056
495,22528,45056
