bag_id,x,y
4,8192,0
5,10240,0
6,12288,0
7,14336,0
8,16384,0
9,18432,0
10,20480,0
17,34816,0
18,36864,0
19,38912,0
20,40960,0
24,2048,2048
26,6144,2048
27,8192,2048
28,10240,2048
32,18432,2048
33,20480,2048
38,30720,2048
39,32768,2048
40,34816,2048
41,36864,2048
42,38912,2048
43,40960,2048
44,43008,2048
47,2048,4096
48,4096,4096
49,6144,4096
50,8192,4096
51,10240,4096
61,30720,4096
62,32768,4096
63,34816,4096
64,36864,4096
65,38912,4096
66,40960,4096
67,43008,4096
68,45056,4096
69,0,6144
70,2048,6144
71,4096,6144
72,6144,6144
73,8192,6144
79,20480,6144
84,30720,6144
85,32768,6144
86,34816,6144
87,36864,6144
88,38912,6144
89,40960,6144
90,43008,6144
91,45056,6144
92,0,8192
93,2048,8192
101,18432,8192
102,20480,8192
107,30720,8192
108,32768,8192
109,34816,8192
110,36864,8192
111,38912,8192
112,40960,8192
113,43008,8192
114,45056,8192
115,0,10240
123,16384,10240
124,18432,10240
125,20480,10240
126,22528,10240
127,24576,10240
131,32768,10240
134,38912,10240
135,40960,10240
136,43008,10240
146,16384,12288
147,18432,12288
148,20480,12288
149,22528,12288
156,36864,12288
157,38912,12288
158,40960,12288
159,43008,12288
168,14336,14336
169,16384,14336
170,18432,14336
171,20480,14336
172,22528,14336
173,24576,14336
178,34816,14336
179,36864,14336
180,38912,14336
181,40960,14336
196,24576,16384
197,26624,16384
198,28672,16384
202,36864,16384
203,38912,16384
218,22528,18432
219,24576,18432
220,26624,18432
225,36864,18432
