bag_id,x,y
2,4096,0
27,55296,0
28,57344,0
34,0,2048
35,2048,2048
36,4096,2048
37,6144,2048
59,51200,2048
60,53248,2048
61,55296,2048
62,57344,2048
63,59392,2048
68,0,4096
69,2048,4096
70,4096,4096
71,6144,4096
72,8192,4096
93,51200,4096
94,53248,4096
95,55296,4096
96,57344,4096
97,59392,4096
98,61440,4096
102,0,6144
103,2048,6144
104,4096,6144
105,6144,6144
106,8192,6144
107,10240,6144
123,43008,6144
127,51200,6144
128,53248,6144
129,55296,6144
130,57344,6144
131,59392,6144
132,61440,6144
137,2048,8192
138,4096,8192
139,6144,8192
140,8192,8192
141,10240,8192
142,12288,8192
161,51200,8192
162,53248,8192
163,55296,8192
164,57344,8192
165,59392,8192
166,61440,8192
167,63488,8192
172,4096,10240
173,6144,10240
174,8192,10240
175,10240,10240
176,12288,10240
196,53248,10240
197,55296,10240
198,57344,10240
199,59392,10240
200,61440,10240
201,63488,10240
202,65536,10240
207,6144,12288
208,8192,12288
209,10240,12288
231,55296,12288
232,57344,12288
233,59392,12288
234,61440,12288
235,63488,12288
266,57344,14336
268,61440,14336
