bag_id,x,y
46,2048,2048
47,4096,2048
48,6144,2048
49,8192,2048
50,10240,2048
91,2048,4096
92,4096,4096
93,6144,4096
94,8192,4096
95,10240,4096
96,12288,4096
122,65536,4096
136,2048,6144
137,4096,6144
138,6144,6144
139,8192,6144
140,10240,6144
141,12288,6144
142,14336,6144
143,16384,6144
164,59392,6144
165,61440,6144
166,63488,6144
167,65536,6144
168,67584,6144
181,2048,8192
182,4096,8192
183,6144,8192
184,8192,8192
185,10240,8192
186,12288,8192
187,14336,8192
188,16384,8192
189,18432,8192
209,59392,8192
210,61440,8192
211,63488,8192
212,65536,8192
213,67584,8192
214,69632,8192
226,2048,10240
227,4096,10240
228,6144,10240
229,8192,10240
230,10240,10240
231,12288,10240
232,14336,10240
233,16384,10240
234,18432,10240
235,20480,10240
254,59392,10240
255,61440,10240
256,63488,10240
257,65536,10240
258,67584,10240
259,69632,10240
260,71680,10240
261,73728,10240
262,75776,10240
263,77824,10240
272,4096,12288
273,6144,12288
274,8192,12288
275,10240,12288
276,12288,12288
277,14336,12288
278,16384,12288
279,18432,12288
280,20480,12288
299,59392,12288
300,61440,12288
301,63488,12288
302,65536,12288
303,67584,12288
304,69632,12288
306,73728,12288
307,75776,12288
308,77824,12288
309,79872,12288
316,2048,14336
317,4096,14336
318,6144,14336
319,8192,14336
320,10240,14336
321,12288,14336
322,14336,14336
323,16384,14336
324,18432,14336
325,20480,14336
326,22528,14336
344,59392,14336
345,61440,14336
346,63488,14336
347,65536,14336
348,67584,14336
349,69632,14336
350,71680,14336
351,73728,14336
352,75776,14336
353,77824,14336
354,79872,14336
362,4096,16384
363,6144,16384
364,8192,16384
365,10240,16384
366,12288,16384
367,14336,16384
368,16384,16384
369,18432,16384
370,20480,16384
371,22528,16384
388,57344,16384
389,59392,16384
390,61440,16384
391,63488,16384
392,65536,16384
393,67584,16384
394,69632,16384
395,71680,16384
396,73728,16384
397,75776,16384
398,77824,16384
399,79872,16384
400,81920,16384
408,6144,18432
409,8192,18432
410,10240,18432
411,12288,18432
412,14336,18432
413,16384,18432
414,18432,18432
415,20480,18432
416,22528,18432
434,59392,18432
435,61440,18432
436,63488,18432
437,65536,18432
438,67584,18432
439,69632,18432
440,71680,18432
441,73728,18432
442,75776,18432
443,77824,18432
444,79872,18432
445,81920,18432
446,83968,18432
458,16384,20480
459,18432,20480
460,20480,20480
461,22528,20480
479,59392,20480
480,61440,20480
481,63488,20480
482,65536,20480
483,67584,20480
484,69632,20480
485,71680,20480
486,73728,20480
487,75776,20480
488,77824,20480
489,79872,20480
490,81920,20480
491,83968,20480
505,20480,22528
506,22528,22528
529,69632,22528
530,71680,22528
531,73728,22528
532,75776,22528
533,77824,22528
534,79872,22528
535,81920,22528
536,83968,22528
579,79872,24576
580,81920,24576
581,83968,24576
