bag_id,x,y
46,10240,2048
47,12288,2048
75,69632,2048
76,71680,2048
77,73728,2048
86,8192,4096
87,10240,4096
88,12288,4096
115,67584,4096
116,69632,4096
117,71680,4096
118,73728,4096
126,6144,6144
127,8192,6144
128,10240,6144
129,12288,6144
130,14336,6144
155,65536,6144
156,67584,6144
157,69632,6144
158,71680,6144
159,73728,6144
160,75776,6144
166,4096,8192
167,6144,8192
168,8192,8192
169,10240,8192
170,12288,8192
171,14336,8192
196,65536,8192
197,67584,8192
198,69632,8192
199,71680,8192
200,73728,8192
201,75776,8192
206,2048,10240
207,4096,10240
208,6144,10240
209,8192,10240
210,10240,10240
211,12288,10240
212,14336,10240
213,16384,10240
236,63488,10240
237,65536,10240
238,67584,10240
239,69632,10240
240,71680,10240
241,73728,10240
242,75776,10240
247,2048,12288
248,4096,12288
249,6144,12288
250,8192,12288
251,10240,12288
252,12288,12288
253,14336,12288
254,16384,12288
255,18432,12288
277,63488,12288
278,65536,12288
279,67584,12288
280,69632,12288
281,71680,12288
282,73728,12288
283,75776,12288
284,77824,12288
289,4096,14336
290,6144,14336
291,8192,14336
292,10240,14336
293,12288,14336
294,14336,14336
295,16384,14336
296,18432,14336
319,65536,14336
320,67584,14336
321,69632,14336
322,71680,14336
323,73728,14336
324,75776,14336
325,77824,14336
326,79872,14336
330,4096,16384
331,6144,16384
332,8192,16384
333,10240,16384
334,12288,16384
335,14336,16384
336,16384,16384
337,18432,16384
358,61440,16384
359,63488,16384
360,65536,16384
361,67584,16384
362,69632,16384
363,71680,16384
364,73728,16384
365,75776,16384
366,77824,16384
367,79872,16384
371,4096,18432
372,6144,18432
373,8192,18432
374,10240,18432
375,12288,18432
376,14336,18432
377,16384,18432
399,61440,18432
400,63488,18432
401,65536,18432
402,67584,18432
403,69632,18432
404,71680,18432
405,73728,18432
406,75776,18432
407,77824,18432
411,2048,20480
412,4096,20480
413,6144,20480
414,8192,20480
415,10240,20480
416,12288,20480
417,14336,20480
440,61440,20480
441,63488,20480
442,65536,20480
443,67584,20480
444,69632,20480
445,71680,20480
446,73728,20480
452,2048,22528
453,4096,22528
454,6144,22528
455,8192,22528
