bag_id,x,y
2,4096,0
3,6144,0
41,4096,2048
42,6144,2048
43,8192,2048
44,10240,2048
45,12288,2048
78,0,4096
79,2048,4096
80,4096,4096
81,6144,4096
82,8192,4096
83,10240,4096
84,12288,4096
85,14336,4096
86,16384,4096
87,18432,4096
88,20480,4096
117,0,6144
118,2048,6144
122,10240,6144
123,12288,6144
124,14336,6144
125,16384,6144
126,18432,6144
127,20480,6144
128,22528,6144
129,24576,6144
130,26624,6144
131,28672,6144
151,69632,6144
152,71680,6144
153,73728,6144
162,12288,8192
163,14336,8192
165,18432,8192
166,20480,8192
167,22528,8192
168,24576,8192
169,26624,8192
170,28672,8192
171,30720,8192
184,57344,8192
185,59392,8192
186,61440,8192
187,63488,8192
188,65536,8192
189,67584,8192
190,69632,8192
191,71680,8192
192,73728,8192
202,14336,10240
203,16384,10240
204,18432,10240
205,20480,10240
206,22528,10240
207,24576,10240
208,26624,10240
209,28672,10240
210,30720,10240
219,49152,10240
220,51200,10240
221,53248,10240
222,55296,10240
223,57344,10240
224,59392,10240
225,61440,10240
226,63488,10240
227,65536,10240
228,67584,10240
229,69632,10240
230,71680,10240
231,73728,10240
241,14336,12288
242,16384,12288
243,18432,12288
244,20480,12288
245,22528,12288
246,24576,12288
247,26624,12288
248,28672,12288
249,30720,12288
259,51200,12288
260,53248,12288
261,55296,12288
262,57344,12288
263,59392,12288
264,61440,12288
265,63488,12288
266,65536,12288
267,67584,12288
268,69632,12288
269,71680,12288
270,73728,12288
271,75776,12288
283,20480,14336
284,22528,14336
285,24576,14336
286,26624,14336
287,28672,14336
298,51200,14336
299,53248,14336
300,55296,14336
302,59392,14336
303,61440,14336
304,63488,14336
305,65536,14336
306,67584,14336
307,69632,14336
308,71680,14336
309,73728,14336
310,75776,14336
342,61440,16384
343,63488,16384
345,67584,16384
346,69632,16384
347,71680,16384
