bag_id,x,y
70,34816,2048
71,36864,2048
95,86016,2048
96,88064,2048
118,24576,4096
119,26624,4096
120,28672,4096
121,30720,4096
122,32768,4096
123,34816,4096
124,36864,4096
146,81920,4096
147,83968,4096
148,86016,4096
149,88064,4096
150,90112,4096
167,16384,6144
168,18432,6144
169,20480,6144
170,22528,6144
171,24576,6144
172,26624,6144
173,28672,6144
174,30720,6144
175,32768,6144
176,34816,6144
177,36864,6144
197,77824,6144
198,79872,6144
199,81920,6144
200,83968,6144
201,86016,6144
202,88064,6144
203,90112,6144
217,10240,8192
218,12288,8192
219,14336,8192
220,16384,8192
221,18432,8192
222,20480,8192
223,22528,8192
224,24576,8192
225,26624,8192
226,28672,8192
227,30720,8192
228,32768,8192
229,34816,8192
230,36864,8192
249,75776,8192
250,77824,8192
251,79872,8192
252,81920,8192
253,83968,8192
254,86016,8192
255,88064,8192
256,90112,8192
268,6144,10240
269,8192,10240
270,10240,10240
271,12288,10240
272,14336,10240
273,16384,10240
274,18432,10240
275,20480,10240
276,22528,10240
277,24576,10240
278,26624,10240
279,28672,10240
280,30720,10240
281,32768,10240
282,34816,10240
283,36864,10240
299,69632,10240
300,71680,10240
301,73728,10240
302,75776,10240
303,77824,10240
304,79872,10240
305,81920,10240
306,83968,10240
307,86016,10240
308,88064,10240
309,90112,10240
321,6144,12288
322,8192,12288
323,10240,12288
324,12288,12288
325,14336,12288
326,16384,12288
327,18432,12288
328,20480,12288
329,22528,12288
330,24576,12288
331,26624,12288
332,28672,12288
333,30720,12288
334,32768,12288
335,34816,12288
336,36864,12288
350,65536,12288
351,67584,12288
352,69632,12288
353,71680,12288
354,73728,12288
355,75776,12288
356,77824,12288
357,79872,12288
358,81920,12288
359,83968,12288
360,86016,12288
361,88064,12288
362,90112,12288
363,92160,12288
374,6144,14336
375,8192,14336
376,10240,14336
377,12288,14336
378,14336,14336
379,16384,14336
380,18432,14336
381,20480,14336
382,22528,14336
383,24576,14336
384,26624,14336
385,28672,14336
386,30720,14336
387,32768,14336
388,34816,14336
389,36864,14336
402,63488,14336
403,65536,14336
404,67584,14336
405,69632,14336
406,71680,14336
407,73728,14336
408,75776,14336
409,77824,14336
410,79872,14336
411,81920,14336
412,83968,14336
413,86016,14336
414,88064,14336
