bag_id,x,y
24,18432,2048
25,20480,2048
38,16384,4096
39,18432,4096
40,20480,4096
41,22528,4096
42,24576,4096
43,26624,4096
50,10240,6144
51,12288,6144
53,16384,6144
54,18432,6144
55,20480,6144
56,22528,6144
57,24576,6144
64,8192,8192
65,10240,8192
66,12288,8192
68,16384,8192
69,18432,8192
70,20480,8192
71,22528,8192
72,24576,8192
77,4096,10240
78,6144,10240
79,8192,10240
80,10240,10240
81,12288,10240
82,14336,10240
83,16384,10240
84,18432,10240
85,20480,10240
86,22528,10240
87,24576,10240
92,4096,12288
93,6144,12288
94,8192,12288
95,10240,12288
96,12288,12288
97,14336,12288
98,16384,12288
99,18432,12288
100,20480,12288
101,22528,12288
102,24576,12288
107,4096,14336
108,6144,14336
113,16384,14336
114,18432,14336
115,20480,14336
116,22528,14336
122,4096,16384
137,4096,18432
