bag_id,x,y
21,4096,2048
22,6144,2048
23,8192,2048
24,10240,2048
25,12288,2048
26,14336,2048
27,16384,2048
28,18432,2048
29,20480,2048
30,22528,2048
31,24576,2048
39,2048,4096
40,4096,4096
41,6144,4096
42,8192,4096
43,10240,4096
44,12288,4096
45,14336,4096
46,16384,4096
47,18432,4096
48,20480,4096
49,22528,4096
50,24576,4096
51,26624,4096
52,28672,4096
53,30720,4096
54,32768,4096
58,2048,6144
59,4096,6144
60,6144,6144
61,8192,6144
62,10240,6144
63,12288,6144
64,14336,6144
65,16384,6144
66,18432,6144
67,20480,6144
68,22528,6144
69,24576,6144
70,26624,6144
71,28672,6144
72,30720,6144
73,32768,6144
74,34816,6144
75,36864,6144
77,2048,8192
78,4096,8192
79,6144,8192
80,8192,8192
81,10240,8192
82,12288,8192
83,14336,8192
84,16384,8192
85,18432,8192
86,20480,8192
87,22528,8192
88,24576,8192
89,26624,8192
90,28672,8192
91,30720,8192
92,32768,8192
93,34816,8192
94,36864,8192
96,2048,10240
97,4096,10240
98,6144,10240
99,8192,10240
100,10240,10240
101,12288,10240
102,14336,10240
103,16384,10240
104,18432,10240
105,20480,10240
106,22528,10240
107,24576,10240
108,26624,10240
111,32768,10240
112,34816,10240
113,36864,10240
115,2048,12288
116,4096,12288
117,6144,12288
118,8192,12288
119,10240,12288
120,12288,12288
121,14336,12288
122,16384,12288
123,18432,12288
124,20480,12288
125,22528,12288
126,24576,12288
127,26624,12288
136,6144,14336
137,8192,14336
138,10240,14336
139,12288,14336
140,14336,14336
141,16384,14336
142,18432,14336
144,22528,14336
145,24576,14336
146,26624,14336
