bag_id,x,y
14,10240,2048
20,4096,4096
21,6144,4096
22,8192,4096
23,10240,4096
24,12288,4096
29,4096,6144
30,6144,6144
31,8192,6144
32,10240,6144
33,12288,6144
34,14336,6144
38,4096,8192
39,6144,8192
40,8192,8192
41,10240,8192
42,12288,8192
43,14336,8192
44,16384,8192
46,2048,10240
47,4096,10240
48,6144,10240
49,8192,10240
50,10240,10240
51,12288,10240
52,14336,10240
53,16384,10240
55,2048,12288
56,4096,12288
57,6144,12288
58,8192,12288
59,10240,12288
60,12288,12288
61,14336,12288
62,16384,12288
64,2048,14336
65,4096,14336
66,6144,14336
67,8192,14336
68,10240,14336
69,12288,14336
70,14336,14336
71,16384,14336
75,6144,16384
76,8192,16384
77,10240,16384
78,12288,16384
79,14336,16384
85,8192,18432
86,10240,18432
