bag_id,x,y
31,6144,4096
32,8192,4096
45,6144,6144
46,8192,6144
47,10240,6144
48,12288,6144
58,4096,8192
59,6144,8192
60,8192,8192
61,10240,8192
62,12288,8192
63,14336,8192
64,16384,8192
72,4096,10240
73,6144,10240
74,8192,10240
75,10240,10240
76,12288,10240
77,14336,10240
78,16384,10240
79,18432,10240
86,4096,12288
87,6144,12288
88,8192,12288
89,10240,12288
90,12288,12288
91,14336,12288
92,16384,12288
93,18432,12288
94,20480,12288
95,22528,12288
100,4096,14336
101,6144,14336
102,8192,14336
103,10240,14336
104,12288,14336
105,14336,14336
106,16384,14336
107,18432,14336
108,20480,14336
109,22528,14336
114,4096,16384
115,6144,16384
116,8192,16384
117,10240,16384
118,12288,16384
119,14336,16384
120,16384,16384
121,18432,16384
122,20480,16384
128,4096,18432
129,6144,18432
130,8192,18432
131,10240,18432
132,12288,18432
133,14336,18432
134,16384,18432
135,18432,18432
136,20480,18432
143,6144,20480
144,8192,20480
145,10240,20480
146,12288,20480
147,14336,20480
148,16384,20480
149,18432,20480
157,6144,22528
158,8192,22528
159,10240,22528
160,12288,22528
171,6144,24576
172,8192,24576
173,10240,24576
174,12288,24576
