bag_id,x,y
0,0,0
11,0,2048
12,2048,2048
22,0,4096
23,2048,4096
24,4096,4096
28,12288,4096
33,0,6144
34,2048,6144
35,4096,6144
36,6144,6144
39,12288,6144
40,14336,6144
44,0,8192
45,2048,8192
46,4096,8192
47,6144,8192
50,12288,8192
51,14336,8192
52,16384,8192
55,0,10240
56,2048,10240
57,4096,10240
58,6144,10240
59,8192,10240
60,10240,10240
61,12288,10240
62,14336,10240
63,16384,10240
71,10240,12288
72,12288,12288
73,14336,12288
74,16384,12288
75,18432,12288
83,12288,14336
84,14336,14336
85,16384,14336
