bag_id,x,y
4,8192,0
5,10240,0
6,12288,0
7,14336,0
8,16384,0
9,18432,0
11,2048,2048
12,4096,2048
13,6144,2048
14,8192,2048
15,10240,2048
16,12288,2048
17,14336,2048
18,16384,2048
19,18432,2048
21,2048,4096
22,4096,4096
23,6144,4096
24,8192,4096
25,10240,4096
26,12288,4096
27,14336,4096
28,16384,4096
29,18432,4096
30,0,6144
31,2048,6144
32,4096,6144
33,6144,6144
34,8192,6144
35,10240,6144
36,12288,6144
37,14336,6144
38,16384,6144
39,18432,6144
43,6144,8192
44,8192,8192
45,10240,8192
46,12288,8192
47,14336,8192
48,16384,8192
