bag_id,x,y
5,10240,0
13,10240,2048
14,12288,2048
17,2048,4096
21,10240,4096
22,12288,4096
25,2048,6144
26,4096,6144
27,6144,6144
28,8192,6144
30,12288,6144
31,14336,6144
33,2048,8192
34,4096,8192
35,6144,8192
36,8192,8192
37,10240,8192
38,12288,8192
39,14336,8192
41,2048,10240
42,4096,10240
43,6144,10240
44,8192,10240
45,10240,10240
46,12288,10240
47,14336,10240
49,2048,12288
50,4096,12288
51,6144,12288
52,8192,12288
53,10240,12288
54,12288,12288
55,14336,12288
58,4096,14336
59,6144,14336
60,8192,14336
61,10240,14336
62,12288,14336
63,14336,14336
66,4096,16384
67,6144,16384
68,8192,16384
69,10240,16384
