bag_id,x,y
2,4096,0
3,6144,0
8,0,2048
9,2048,2048
10,4096,2048
11,6144,2048
16,0,4096
17,2048,4096
18,4096,4096
19,6144,4096
20,8192,4096
24,0,6144
25,2048,6144
26,4096,6144
27,6144,6144
28,8192,6144
29,10240,6144
30,12288,6144
32,0,8192
33,2048,8192
34,4096,8192
35,6144,8192
36,8192,8192
37,10240,8192
38,12288,8192
40,0,10240
41,2048,10240
42,4096,10240
43,6144,10240
44,8192,10240
45,10240,10240
46,12288,10240
47,14336,10240
49,2048,12288
50,4096,12288
51,6144,12288
52,8192,12288
53,10240,12288
54,12288,12288
55,14336,12288
