bag_id,x,y
15,8192,2048
16,10240,2048
25,6144,4096
26,8192,4096
27,10240,4096
28,12288,4096
29,14336,4096
30,16384,4096
36,6144,6144
37,8192,6144
38,10240,6144
39,12288,6144
40,14336,6144
41,16384,6144
42,18432,6144
46,4096,8192
47,6144,8192
48,8192,8192
49,10240,8192
50,12288,8192
51,14336,8192
52,16384,8192
53,18432,8192
54,20480,8192
56,2048,10240
57,4096,10240
58,6144,10240
59,8192,10240
60,10240,10240
61,12288,10240
62,14336,10240
63,16384,10240
64,18432,10240
67,2048,12288
68,4096,12288
69,6144,12288
70,8192,12288
71,10240,12288
72,12288,12288
73,14336,12288
74,16384,12288
75,18432,12288
78,2048,14336
79,4096,14336
80,6144,14336
81,8192,14336
82,10240,14336
83,12288,14336
84,14336,14336
85,16384,14336
86,18432,14336
89,2048,16384
90,4096,16384
91,6144,16384
92,8192,16384
93,10240,16384
94,12288,16384
95,14336,16384
96,16384,16384
97,18432,16384
101,4096,18432
102,6144,18432
103,8192,18432
104,10240,18432
105,12288,18432
106,14336,18432
107,16384,18432
108,18432,18432
112,4096,20480
113,6144,20480
114,8192,20480
115,10240,20480
116,12288,20480
117,14336,20480
118,16384,20480
119,18432,20480
123,4096,22528
124,6144,22528
125,8192,22528
126,10240,22528
127,12288,22528
128,14336,22528
129,16384,22528
134,4096,24576
135,6144,24576
136,8192,24576
137,10240,24576
138,12288,24576
139,14336,24576
140,16384,24576
145,4096,26624
146,6144,26624
147,8192,26624
149,12288,26624
150,14336,26624
