bag_id,x,y
2,4096,0
3,6144,0
8,16384,0
9,18432,0
10,20480,0
11,22528,0
12,24576,0
13,26624,0
15,2048,2048
16,4096,2048
17,6144,2048
18,8192,2048
21,14336,2048
22,16384,2048
23,18432,2048
24,20480,2048
25,22528,2048
26,24576,2048
27,26624,2048
28,0,4096
29,2048,4096
30,4096,4096
31,6144,4096
32,8192,4096
33,10240,4096
34,12288,4096
35,14336,4096
36,16384,4096
37,18432,4096
38,20480,4096
39,22528,4096
40,24576,4096
41,26624,4096
42,0,6144
43,2048,6144
44,4096,6144
45,6144,6144
46,8192,6144
47,10240,6144
48,12288,6144
49,14336,6144
50,16384,6144
51,18432,6144
52,20480,6144
53,22528,6144
54,24576,6144
55,26624,6144
56,0,8192
57,2048,8192
58,4096,8192
59,6144,8192
60,8192,8192
61,10240,8192
62,12288,8192
63,14336,8192
64,16384,8192
65,18432,8192
66,20480,8192
67,22528,8192
68,24576,8192
69,26624,8192
71,2048,10240
72,4096,10240
73,6144,10240
74,8192,10240
75,10240,10240
76,12288,10240
77,14336,10240
78,16384,10240
79,18432,10240
80,20480,10240
81,22528,10240
82,24576,10240
83,26624,10240
85,2048,12288
86,4096,12288
87,6144,12288
88,8192,12288
89,10240,12288
90,12288,12288
91,14336,12288
92,16384,12288
93,18432,12288
94,20480,12288
95,22528,12288
96,24576,12288
97,26624,12288
99,2048,14336
100,4096,14336
101,6144,14336
102,8192,14336
103,10240,14336
104,12288,14336
105,14336,14336
106,16384,14336
107,18432,14336
108,20480,14336
109,22528,14336
110,24576,14336
111,26624,14336
114,4096,16384
115,6144,16384
116,8192,16384
117,10240,16384
118,12288,16384
119,14336,16384
120,16384,16384
121,18432,16384
122,20480,16384
123,22528,16384
124,24576,16384
129,6144,18432
130,8192,18432
131,10240,18432
132,12288,18432
133,14336,18432
134,16384,18432
135,18432,18432
136,20480,18432
137,22528,18432
147,14336,20480
148,16384,20480
149,18432,20480
150,20480,20480
