bag_id,x,y
16,32768,0
17,34816,0
18,36864,0
33,28672,2048
34,30720,2048
35,32768,2048
36,34816,2048
37,36864,2048
41,6144,4096
42,8192,4096
43,10240,4096
46,16384,4096
47,18432,4096
48,20480,4096
49,22528,4096
50,24576,4096
51,26624,4096
52,28672,4096
53,30720,4096
54,32768,4096
55,34816,4096
56,36864,4096
58,2048,6144
59,4096,6144
60,6144,6144
61,8192,6144
62,10240,6144
63,12288,6144
64,14336,6144
65,16384,6144
66,18432,6144
67,20480,6144
68,22528,6144
69,24576,6144
70,26624,6144
71,28672,6144
72,30720,6144
73,32768,6144
74,34816,6144
76,0,8192
77,2048,8192
78,4096,8192
79,6144,8192
80,8192,8192
81,10240,8192
82,12288,8192
83,14336,8192
84,16384,8192
85,18432,8192
86,20480,8192
87,22528,8192
88,24576,8192
89,26624,8192
90,28672,8192
91,30720,8192
92,32768,8192
93,34816,8192
95,0,10240
96,2048,10240
97,4096,10240
98,6144,10240
99,8192,10240
100,10240,10240
101,12288,10240
102,14336,10240
103,16384,10240
104,18432,10240
105,20480,10240
106,22528,10240
107,24576,10240
108,26624,10240
109,28672,10240
110,30720,10240
111,32768,10240
112,34816,10240
114,0,12288
115,2048,12288
116,4096,12288
117,6144,12288
118,8192,12288
119,10240,12288
120,12288,12288
121,14336,12288
122,16384,12288
123,18432,12288
124,20480,12288
125,22528,12288
126,24576,12288
127,26624,12288
128,28672,12288
129,30720,12288
130,32768,12288
131,34816,12288
134,2048,14336
135,4096,14336
136,6144,14336
137,8192,14336
138,10240,14336
139,12288,14336
140,14336,14336
141,16384,14336
142,18432,14336
143,20480,14336
144,22528,14336
145,24576,14336
146,26624,14336
147,28672,14336
148,30720,14336
149,32768,14336
150,34816,14336
154,4096,16384
155,6144,16384
156,8192,16384
157,10240,16384
158,12288,16384
159,14336,16384
160,16384,16384
161,18432,16384
162,20480,16384
163,22528,16384
164,24576,16384
165,26624,16384
166,28672,16384
167,30720,16384
168,32768,16384
169,34816,16384
174,6144,18432
175,8192,18432
176,10240,18432
177,12288,18432
178,14336,18432
179,16384,18432
180,18432,18432
181,20480,18432
182,22528,18432
183,24576,18432
184,26624,18432
185,28672,18432
186,30720,18432
187,32768,18432
188,34816,18432
197,14336,20480
198,16384,20480
199,18432,20480
200,20480,20480
201,22528,20480
205,30720,20480
206,32768,20480
207,34816,20480
