bag_id,x,y
3,6144,0
4,8192,0
5,10240,0
44,6144,2048
45,8192,2048
47,12288,2048
48,14336,2048
83,2048,4096
84,4096,4096
85,6144,4096
86,8192,4096
87,10240,4096
88,12288,4096
89,14336,4096
90,16384,4096
91,18432,4096
92,20480,4096
93,22528,4096
94,24576,4096
113,63488,4096
124,2048,6144
125,4096,6144
126,6144,6144
127,8192,6144
128,10240,6144
129,12288,6144
130,14336,6144
131,16384,6144
132,18432,6144
133,20480,6144
134,22528,6144
135,24576,6144
136,26624,6144
153,61440,6144
154,63488,6144
155,65536,6144
156,67584,6144
158,71680,6144
165,2048,8192
166,4096,8192
167,6144,8192
168,8192,8192
169,10240,8192
170,12288,8192
171,14336,8192
172,16384,8192
173,18432,8192
174,20480,8192
175,22528,8192
176,24576,8192
193,59392,8192
194,61440,8192
195,63488,8192
196,65536,8192
197,67584,8192
198,69632,8192
199,71680,8192
200,73728,8192
207,4096,10240
208,6144,10240
209,8192,10240
210,10240,10240
211,12288,10240
212,14336,10240
213,16384,10240
214,18432,10240
215,20480,10240
216,22528,10240
217,24576,10240
234,59392,10240
235,61440,10240
236,63488,10240
237,65536,10240
238,67584,10240
239,69632,10240
240,71680,10240
241,73728,10240
242,75776,10240
243,77824,10240
248,4096,12288
249,6144,12288
250,8192,12288
251,10240,12288
252,12288,12288
253,14336,12288
254,16384,12288
255,18432,12288
256,20480,12288
257,22528,12288
274,57344,12288
275,59392,12288
276,61440,12288
277,63488,12288
278,65536,12288
279,67584,12288
280,69632,12288
281,71680,12288
282,73728,12288
283,75776,12288
284,77824,12288
285,79872,12288
290,6144,14336
291,8192,14336
292,10240,14336
293,12288,14336
294,14336,14336
295,16384,14336
296,18432,14336
297,20480,14336
315,57344,14336
316,59392,14336
317,61440,14336
318,63488,14336
319,65536,14336
320,67584,14336
321,69632,14336
322,71680,14336
323,73728,14336
324,75776,14336
325,77824,14336
334,12288,16384
335,14336,16384
336,16384,16384
337,18432,16384
357,59392,16384
358,61440,16384
359,63488,16384
360,65536,16384
361,67584,16384
362,69632,16384
363,71680,16384
364,73728,16384
365,75776,16384
398,59392,18432
399,61440,18432
400,63488,18432
401,65536,18432
402,67584,18432
403,69632,18432
404,71680,18432
405,73728,18432
439,59392,20480
440,61440,20480
441,63488,20480
442,65536,20480
443,67584,20480
444,69632,20480
445,71680,20480
446,73728,20480
478,55296,22528
479,57344,22528
483,65536,22528
484,67584,22528
485,69632,22528
486,71680,22528
