bag_id,x,y
143,4096,6144
144,6144,6144
145,8192,6144
146,10240,6144
147,12288,6144
173,65536,6144
174,67584,6144
175,69632,6144
176,71680,6144
190,4096,8192
191,6144,8192
192,8192,8192
193,10240,8192
194,12288,8192
195,14336,8192
196,16384,8192
220,65536,8192
221,67584,8192
222,69632,8192
223,71680,8192
224,73728,8192
225,75776,8192
237,4096,10240
238,6144,10240
239,8192,10240
240,10240,10240
241,12288,10240
242,14336,10240
243,16384,10240
244,18432,10240
245,20480,10240
246,22528,10240
247,24576,10240
267,65536,10240
268,67584,10240
269,69632,10240
270,71680,10240
271,73728,10240
272,75776,10240
273,77824,10240
274,79872,10240
275,81920,10240
276,83968,10240
284,4096,12288
285,6144,12288
286,8192,12288
287,10240,12288
288,12288,12288
289,14336,12288
290,16384,12288
291,18432,12288
292,20480,12288
293,22528,12288
294,24576,12288
295,26624,12288
296,28672,12288
297,30720,12288
314,65536,12288
315,67584,12288
316,69632,12288
317,71680,12288
318,73728,12288
319,75776,12288
320,77824,12288
321,79872,12288
322,81920,12288
323,83968,12288
324,86016,12288
325,88064,12288
326,90112,12288
331,4096,14336
332,6144,14336
333,8192,14336
334,10240,14336
335,12288,14336
336,14336,14336
337,16384,14336
338,18432,14336
339,20480,14336
340,22528,14336
341,24576,14336
342,26624,14336
343,28672,14336
344,30720,14336
345,32768,14336
361,65536,14336
362,67584,14336
363,69632,14336
364,71680,14336
365,73728,14336
366,75776,14336
367,77824,14336
368,79872,14336
369,81920,14336
370,83968,14336
371,86016,14336
372,88064,14336
373,90112,14336
374,92160,14336
375,94208,14336
379,6144,16384
380,8192,16384
381,10240,16384
382,12288,16384
383,14336,16384
384,16384,16384
385,18432,16384
388,24576,16384
389,26624,16384
390,28672,16384
391,30720,16384
392,32768,16384
393,34816,16384
408,65536,16384
409,67584,16384
410,69632,16384
411,71680,16384
412,73728,16384
413,75776,16384
414,77824,16384
415,79872,16384
416,81920,16384
417,83968,16384
418,86016,16384
419,88064,16384
420,90112,16384
421,92160,16384
422,94208,16384
426,6144,18432
427,8192,18432
428,10240,18432
429,12288,18432
430,14336,18432
431,16384,18432
456,67584,18432
457,69632,18432
458,71680,18432
459,73728,18432
460,75776,18432
461,77824,18432
474,8192,20480
475,10240,20480
476,12288,20480
477,14336,20480
503,67584,20480
504,69632,20480
505,71680,20480
506,73728,20480
507,75776,20480
522,10240,22528
523,12288,22528
524,14336,22528
551,69632,22528
552,71680,22528
553,73728,22528
554,75776,22528
