bag_id,x,y
26,53248,0
27,55296,0
28,57344,0
60,53248,2048
61,55296,2048
62,57344,2048
63,59392,2048
94,53248,4096
95,55296,4096
96,57344,4096
97,59392,4096
98,61440,4096
99,63488,4096
103,2048,6144
104,4096,6144
128,53248,6144
129,55296,6144
130,57344,6144
131,59392,6144
132,61440,6144
133,63488,6144
137,2048,8192
138,4096,8192
139,6144,8192
140,8192,8192
161,51200,8192
162,53248,8192
163,55296,8192
164,57344,8192
165,59392,8192
166,61440,8192
167,63488,8192
171,2048,10240
172,4096,10240
173,6144,10240
174,8192,10240
195,51200,10240
196,53248,10240
197,55296,10240
198,57344,10240
206,4096,12288
207,6144,12288
208,8192,12288
230,53248,12288
231,55296,12288
232,57344,12288
240,4096,14336
241,6144,14336
264,53248,14336
265,55296,14336
266,57344,14336
274,4096,16384
275,6144,16384
297,51200,16384
298,53248,16384
299,55296,16384
300,57344,16384
301,59392,16384
302,61440,16384
303,63488,16384
304,65536,16384
308,4096,18432
309,6144,18432
310,8192,18432
311,10240,18432
312,12288,18432
313,14336,18432
331,51200,18432
332,53248,18432
333,55296,18432
334,57344,18432
335,59392,18432
336,61440,18432
337,63488,18432
343,6144,20480
344,8192,20480
345,10240,20480
346,12288,20480
347,14336,20480
348,16384,20480
349,18432,20480
366,53248,20480
367,55296,20480
368,57344,20480
369,59392,20480
370,61440,20480
371,63488,20480
377,6144,22528
378,8192,22528
379,10240,22528
380,12288,22528
381,14336,22528
382,16384,22528
383,18432,22528
399,51200,22528
400,53248,22528
401,55296,22528
402,57344,22528
403,59392,22528
404,61440,22528
405,63488,22528
411,6144,24576
412,8192,24576
413,10240,24576
414,12288,24576
415,14336,24576
416,16384,24576
417,18432,24576
434,53248,24576
435,55296,24576
436,57344,24576
437,59392,24576
438,61440,24576
445,6144,26624
446,8192,26624
447,10240,26624
448,12288,26624
449,14336,26624
450,16384,26624
480,8192,28672
481,10240,28672
482,12288,28672
