bag_id,x,y
70,63488,2048
71,65536,2048
72,67584,2048
73,69632,2048
80,4096,4096
83,10240,4096
107,59392,4096
108,61440,4096
109,63488,4096
110,65536,4096
111,67584,4096
112,69632,4096
113,71680,4096
119,4096,6144
122,10240,6144
123,12288,6144
124,14336,6144
146,59392,6144
147,61440,6144
148,63488,6144
149,65536,6144
150,67584,6144
151,69632,6144
152,71680,6144
153,73728,6144
158,4096,8192
159,6144,8192
160,8192,8192
161,10240,8192
162,12288,8192
163,14336,8192
164,16384,8192
174,36864,8192
185,59392,8192
186,61440,8192
187,63488,8192
188,65536,8192
189,67584,8192
190,69632,8192
191,71680,8192
192,73728,8192
197,4096,10240
198,6144,10240
199,8192,10240
200,10240,10240
201,12288,10240
202,14336,10240
203,16384,10240
224,59392,10240
225,61440,10240
226,63488,10240
227,65536,10240
228,67584,10240
229,69632,10240
230,71680,10240
231,73728,10240
236,4096,12288
237,6144,12288
238,8192,12288
239,10240,12288
240,12288,12288
241,14336,12288
242,16384,12288
263,59392,12288
264,61440,12288
265,63488,12288
266,65536,12288
267,67584,12288
268,69632,12288
269,71680,12288
270,73728,12288
274,2048,14336
275,4096,14336
276,6144,14336
277,8192,14336
278,10240,14336
279,12288,14336
280,14336,14336
281,16384,14336
302,59392,14336
303,61440,14336
305,65536,14336
306,67584,14336
307,69632,14336
308,71680,14336
309,73728,14336
314,4096,16384
315,6144,16384
316,8192,16384
317,10240,16384
318,12288,16384
319,14336,16384
320,16384,16384
356,10240,18432
357,12288,18432
358,14336,18432
359,16384,18432
