bag_id,x,y
7,14336,0
8,16384,0
25,8192,2048
26,10240,2048
27,12288,2048
28,14336,2048
29,16384,2048
30,18432,2048
32,22528,2048
33,24576,2048
35,28672,2048
45,6144,4096
46,8192,4096
47,10240,4096
48,12288,4096
49,14336,4096
50,16384,4096
51,18432,4096
52,20480,4096
53,22528,4096
54,24576,4096
55,26624,4096
56,28672,4096
57,30720,4096
58,32768,4096
65,4096,6144
66,6144,6144
67,8192,6144
68,10240,6144
69,12288,6144
70,14336,6144
71,16384,6144
72,18432,6144
73,20480,6144
74,22528,6144
75,24576,6144
76,26624,6144
77,28672,6144
78,30720,6144
79,32768,6144
86,4096,8192
87,6144,8192
88,8192,8192
89,10240,8192
90,12288,8192
91,14336,8192
92,16384,8192
93,18432,8192
94,20480,8192
95,22528,8192
96,24576,8192
97,26624,8192
98,28672,8192
99,30720,8192
100,32768,8192
107,4096,10240
108,6144,10240
109,8192,10240
110,10240,10240
111,12288,10240
112,14336,10240
113,16384,10240
114,18432,10240
115,20480,10240
116,22528,10240
117,24576,10240
118,26624,10240
119,28672,10240
120,30720,10240
121,32768,10240
122,34816,10240
128,4096,12288
129,6144,12288
131,10240,12288
133,14336,12288
134,16384,12288
135,18432,12288
136,20480,12288
137,22528,12288
138,24576,12288
139,26624,12288
140,28672,12288
141,30720,12288
142,32768,12288
143,34816,12288
150,6144,14336
152,10240,14336
153,12288,14336
154,14336,14336
155,16384,14336
156,18432,14336
157,20480,14336
158,22528,14336
159,24576,14336
160,26624,14336
161,28672,14336
162,30720,14336
163,32768,14336
164,34816,14336
174,12288,16384
176,16384,16384
177,18432,16384
178,20480,16384
179,22528,16384
180,24576,16384
181,26624,16384
182,28672,16384
183,30720,16384
184,32768,16384
185,34816,16384
197,16384,18432
198,18432,18432
199,20480,18432
200,22528,18432
201,24576,18432
202,26624,18432
203,28672,18432
204,30720,18432
205,32768,18432
218,16384,20480
219,18432,20480
220,20480,20480
221,22528,20480
222,24576,20480
223,26624,20480
224,28672,20480
225,30720,20480
226,32768,20480
240,18432,22528
241,20480,22528
242,22528,22528
243,24576,22528
244,26624,22528
245,28672,22528
246,30720,22528
261,18432,24576
262,20480,24576
263,22528,24576
264,24576,24576
265,26624,24576
266,28672,24576
