bag_id,x,y
4,8192,0
5,10240,0
6,12288,0
7,14336,0
8,16384,0
9,18432,0
10,20480,0
28,0,2048
29,2048,2048
30,4096,2048
31,6144,2048
32,8192,2048
33,10240,2048
34,12288,2048
35,14336,2048
36,16384,2048
37,18432,2048
38,20480,2048
39,22528,2048
40,24576,2048
56,0,4096
57,2048,4096
58,4096,4096
59,6144,4096
60,8192,4096
61,10240,4096
62,12288,4096
63,14336,4096
64,16384,4096
65,18432,4096
66,20480,4096
67,22528,4096
68,24576,4096
69,26624,4096
76,40960,4096
77,43008,4096
78,45056,4096
84,0,6144
85,2048,6144
86,4096,6144
87,6144,6144
88,8192,6144
89,10240,6144
90,12288,6144
91,14336,6144
92,16384,6144
93,18432,6144
94,20480,6144
95,22528,6144
96,24576,6144
97,26624,6144
98,28672,6144
102,36864,6144
103,38912,6144
104,40960,6144
105,43008,6144
106,45056,6144
107,47104,6144
112,0,8192
113,2048,8192
114,4096,8192
115,6144,8192
116,8192,8192
117,10240,8192
118,12288,8192
119,14336,8192
120,16384,8192
121,18432,8192
122,20480,8192
123,22528,8192
124,24576,8192
125,26624,8192
126,28672,8192
127,30720,8192
128,32768,8192
129,34816,8192
130,36864,8192
131,38912,8192
132,40960,8192
133,43008,8192
134,45056,8192
135,47104,8192
136,49152,8192
137,51200,8192
140,0,10240
141,2048,10240
142,4096,10240
143,6144,10240
144,8192,10240
145,10240,10240
146,12288,10240
147,14336,10240
148,16384,10240
149,18432,10240
150,20480,10240
151,22528,10240
152,24576,10240
153,26624,10240
154,28672,10240
155,30720,10240
156,32768,10240
157,34816,10240
158,36864,10240
159,38912,10240
160,40960,10240
161,43008,10240
162,45056,10240
163,47104,10240
164,49152,10240
165,51200,10240
166,53248,10240
168,0,12288
169,2048,12288
170,4096,12288
171,6144,12288
172,8192,12288
173,10240,12288
174,12288,12288
175,14336,12288
176,16384,12288
177,18432,12288
178,20480,12288
179,22528,12288
180,24576,12288
181,26624,12288
182,28672,12288
183,30720,12288
184,32768,12288
185,34816,12288
186,36864,12288
187,38912,12288
188,40960,12288
189,43008,12288
190,45056,12288
191,47104,12288
192,49152,12288
193,51200,12288
194,53248,12288
196,0,14336
197,2048,14336
198,4096,14336
199,6144,14336
200,8192,14336
201,10240,14336
202,12288,14336
203,14336,14336
204,16384,14336
205,18432,14336
206,20480,14336
207,22528,14336
208,24576,14336
209,26624,14336
210,28672,14336
211,30720,14336
212,32768,14336
213,34816,14336
214,36864,14336
215,38912,14336
216,40960,14336
217,43008,14336
218,45056,14336
219,47104,14336
220,49152,14336
221,51200,14336
222,53248,14336
223,55296,14336
225,2048,16384
229,10240,16384
230,12288,16384
231,14336,16384
232,16384,16384
233,18432,16384
234,20480,16384
235,22528,16384
236,24576,16384
237,26624,16384
238,28672,16384
239,30720,16384
240,32768,16384
241,34816,16384
242,36864,16384
243,38912,16384
244,40960,16384
245,43008,16384
246,45056,16384
247,47104,16384
248,49152,16384
249,51200,16384
250,53248,16384
251,55296,16384
258,12288,18432
259,14336,18432
260,16384,18432
261,18432,18432
262,20480,18432
263,22528,18432
264,24576,18432
265,26624,18432
266,28672,18432
267,30720,18432
268,32768,18432
269,34816,18432
270,36864,18432
271,38912,18432
272,40960,18432
273,43008,18432
274,45056,18432
275,47104,18432
276,49152,18432
277,51200,18432
278,53248,18432
279,55296,18432
288,16384,20480
289,18432,20480
290,20480,20480
291,22528,20480
292,24576,20480
293,26624,20480
294,28672,20480
295,30720,20480
296,32768,20480
297,34816,20480
298,36864,20480
299,38912,20480
300,40960,20480
301,43008,20480
302,45056,20480
303,47104,20480
304,49152,20480
305,51200,20480
306,53248,20480
307,55296,20480
317,18432,22528
318,20480,22528
319,22528,22528
320,24576,22528
321,26624,22528
322,28672,22528
323,30720,22528
324,32768,22528
325,34816,22528
326,36864,22528
327,38912,22528
328,40960,22528
329,43008,22528
330,45056,22528
331,47104,22528
332,49152,22528
333,51200,22528
334,53248,22528
335,55296,22528
345,18432,24576
346,20480,24576
347,22528,24576
348,24576,24576
349,26624,24576
350,28672,24576
351,30720,24576
352,32768,24576
353,34816,24576
354,36864,24576
355,38912,24576
356,40960,24576
357,43008,24576
358,45056,24576
359,47104,24576
360,49152,24576
361,51200,24576
362,53248,24576
363,55296,24576
377,26624,26624
378,28672,26624
380,32768,26624
381,34816,26624
382,36864,26624
383,38912,26624
384,40960,26624
385,43008,26624
386,45056,26624
387,47104,26624
388,49152,26624
389,51200,26624
390,53248,26624
391,55296,26624
408,32768,28672
409,34816,28672
410,36864,28672
411,38912,28672
412,40960,28672
413,43008,28672
414,45056,28672
415,47104,28672
416,49152,28672
417,51200,28672
418,53248,28672
419,55296,28672
437,34816,30720
438,36864,30720
439,38912,30720
440,40960,30720
441,43008,30720
442,45056,30720
443,47104,30720
444,49152,30720
445,51200,30720
446,53248,30720
