bag_id,x,y
5,10240,0
42,8192,2048
43,10240,2048
44,12288,2048
45,14336,2048
47,18432,2048
77,2048,4096
78,4096,4096
79,6144,4096
80,8192,4096
81,10240,4096
82,12288,4096
83,14336,4096
85,18432,4096
114,0,6144
115,2048,6144
116,4096,6144
117,6144,6144
118,8192,6144
119,10240,6144
120,12288,6144
121,14336,6144
143,59392,6144
144,61440,6144
145,63488,6144
146,65536,6144
147,67584,6144
148,69632,6144
149,71680,6144
153,2048,8192
154,4096,8192
155,6144,8192
156,8192,8192
157,10240,8192
158,12288,8192
159,14336,8192
180,57344,8192
181,59392,8192
182,61440,8192
183,63488,8192
184,65536,8192
185,67584,8192
186,69632,8192
192,4096,10240
193,6144,10240
194,8192,10240
195,10240,10240
196,12288,10240
197,14336,10240
219,59392,10240
220,61440,10240
221,63488,10240
222,65536,10240
223,67584,10240
224,69632,10240
230,4096,12288
231,6144,12288
232,8192,12288
233,10240,12288
234,12288,12288
235,14336,12288
258,61440,12288
259,63488,12288
260,65536,12288
261,67584,12288
262,69632,12288
263,71680,12288
267,2048,14336
268,4096,14336
271,10240,14336
272,12288,14336
273,14336,14336
295,59392,14336
296,61440,14336
297,63488,14336
298,65536,14336
299,67584,14336
300,69632,14336
301,71680,14336
306,4096,16384
307,6144,16384
332,57344,16384
336,65536,16384
337,67584,16384
338,69632,16384
345,6144,18432
346,8192,18432
371,59392,18432
372,61440,18432
375,67584,18432
376,69632,18432
410,61440,20480
