bag_id,x,y
40,81920,0
58,14336,2048
59,16384,2048
60,18432,2048
61,20480,2048
63,24576,2048
64,26624,2048
65,28672,2048
66,30720,2048
89,77824,2048
91,81920,2048
92,83968,2048
93,86016,2048
94,88064,2048
95,90112,2048
106,8192,4096
107,10240,4096
108,12288,4096
109,14336,4096
110,16384,4096
111,18432,4096
112,20480,4096
113,22528,4096
114,24576,4096
115,26624,4096
116,28672,4096
117,30720,4096
118,32768,4096
119,34816,4096
136,69632,4096
138,73728,4096
139,75776,4096
141,79872,4096
142,81920,4096
143,83968,4096
144,86016,4096
145,88064,4096
146,90112,4096
147,92160,4096
156,6144,6144
157,8192,6144
158,10240,6144
159,12288,6144
160,14336,6144
161,16384,6144
162,18432,6144
163,20480,6144
164,22528,6144
165,24576,6144
166,26624,6144
167,28672,6144
168,30720,6144
169,32768,6144
170,34816,6144
171,36864,6144
185,65536,6144
186,67584,6144
187,69632,6144
188,71680,6144
189,73728,6144
190,75776,6144
191,77824,6144
192,79872,6144
193,81920,6144
194,83968,6144
195,86016,6144
196,88064,6144
197,90112,6144
198,92160,6144
199,94208,6144
206,4096,8192
207,6144,8192
208,8192,8192
209,10240,8192
210,12288,8192
211,14336,8192
212,16384,8192
213,18432,8192
214,20480,8192
215,22528,8192
216,24576,8192
217,26624,8192
218,28672,8192
219,30720,8192
220,32768,8192
221,34816,8192
222,36864,8192
236,65536,8192
237,67584,8192
238,69632,8192
239,71680,8192
240,73728,8192
241,75776,8192
242,77824,8192
243,79872,8192
244,81920,8192
245,83968,8192
246,86016,8192
247,88064,8192
248,90112,8192
249,92160,8192
250,94208,8192
251,96256,8192
257,4096,10240
258,6144,10240
259,8192,10240
260,10240,10240
261,12288,10240
262,14336,10240
263,16384,10240
264,18432,10240
265,20480,10240
266,22528,10240
267,24576,10240
268,26624,10240
269,28672,10240
270,30720,10240
271,32768,10240
272,34816,10240
273,36864,10240
274,38912,10240
286,63488,10240
287,65536,10240
288,67584,10240
289,69632,10240
290,71680,10240
291,73728,10240
292,75776,10240
293,77824,10240
294,79872,10240
295,81920,10240
296,83968,10240
297,86016,10240
298,88064,10240
299,90112,10240
300,92160,10240
301,94208,10240
302,96256,10240
303,98304,10240
308,4096,12288
309,6144,12288
310,8192,12288
311,10240,12288
312,12288,12288
313,14336,12288
314,16384,12288
315,18432,12288
316,20480,12288
317,22528,12288
318,24576,12288
319,26624,12288
320,28672,12288
321,30720,12288
322,32768,12288
323,34816,12288
324,36864,12288
325,38912,12288
337,63488,12288
338,65536,12288
339,67584,12288
340,69632,12288
341,71680,12288
342,73728,12288
343,75776,12288
344,77824,12288
345,79872,12288
346,81920,12288
347,83968,12288
348,86016,12288
349,88064,12288
350,90112,12288
351,92160,12288
352,94208,12288
353,96256,12288
354,98304,12288
359,4096,14336
360,6144,14336
361,8192,14336
362,10240,14336
363,12288,14336
365,16384,14336
366,18432,14336
367,20480,14336
368,22528,14336
369,24576,14336
370,26624,14336
371,28672,14336
372,30720,14336
373,32768,14336
374,34816,14336
376,38912,14336
377,40960,14336
387,61440,14336
388,63488,14336
389,65536,14336
390,67584,14336
391,69632,14336
392,71680,14336
393,73728,14336
394,75776,14336
395,77824,14336
396,79872,14336
397,81920,14336
398,83968,14336
399,86016,14336
400,88064,14336
401,90112,14336
402,92160,14336
403,94208,14336
405,98304,14336
410,4096,16384
411,6144,16384
412,8192,16384
413,10240,16384
417,18432,16384
418,20480,16384
419,22528,16384
420,24576,16384
421,26624,16384
422,28672,16384
423,30720,16384
439,63488,16384
440,65536,16384
441,67584,16384
442,69632,16384
445,75776,16384
446,77824,16384
447,79872,16384
448,81920,16384
449,83968,16384
450,86016,16384
451,88064,16384
452,90112,16384
469,20480,18432
470,22528,18432
471,24576,18432
472,26624,18432
473,28672,18432
490,63488,18432
491,65536,18432
492,67584,18432
497,77824,18432
498,79872,18432
499,81920,18432
500,83968,18432
501,86016,18432
502,88064,18432
550,81920,20480
