bag_id,x,y
118,65536,4096
119,67584,4096
120,69632,4096
159,61440,6144
160,63488,6144
161,65536,6144
162,67584,6144
163,69632,6144
164,71680,6144
165,73728,6144
166,75776,6144
167,77824,6144
168,79872,6144
169,81920,6144
170,83968,6144
201,59392,8192
202,61440,8192
203,63488,8192
204,65536,8192
205,67584,8192
206,69632,8192
207,71680,8192
208,73728,8192
209,75776,8192
210,77824,8192
211,79872,8192
212,81920,8192
213,83968,8192
214,86016,8192
243,57344,10240
244,59392,10240
245,61440,10240
246,63488,10240
247,65536,10240
248,67584,10240
249,69632,10240
250,71680,10240
251,73728,10240
252,75776,10240
253,77824,10240
254,79872,10240
255,81920,10240
256,83968,10240
257,86016,10240
264,12288,12288
265,14336,12288
266,16384,12288
287,59392,12288
288,61440,12288
289,63488,12288
290,65536,12288
291,67584,12288
292,69632,12288
293,71680,12288
294,73728,12288
295,75776,12288
296,77824,12288
297,79872,12288
298,81920,12288
299,83968,12288
305,8192,14336
306,10240,14336
307,12288,14336
308,14336,14336
309,16384,14336
310,18432,14336
311,20480,14336
312,22528,14336
313,24576,14336
314,26624,14336
315,28672,14336
330,59392,14336
331,61440,14336
332,63488,14336
333,65536,14336
334,67584,14336
335,69632,14336
336,71680,14336
337,73728,14336
338,75776,14336
339,77824,14336
340,79872,14336
341,81920,14336
342,83968,14336
346,4096,16384
347,6144,16384
348,8192,16384
349,10240,16384
350,12288,16384
351,14336,16384
352,16384,16384
353,18432,16384
354,20480,16384
355,22528,16384
356,24576,16384
357,26624,16384
358,28672,16384
359,30720,16384
360,32768,16384
373,59392,16384
374,61440,16384
375,63488,16384
376,65536,16384
377,67584,16384
378,69632,16384
379,71680,16384
380,73728,16384
381,75776,16384
382,77824,16384
383,79872,16384
384,81920,16384
389,4096,18432
391,8192,18432
392,10240,18432
393,12288,18432
394,14336,18432
395,16384,18432
396,18432,18432
397,20480,18432
398,22528,18432
399,24576,18432
400,26624,18432
401,28672,18432
402,30720,18432
403,32768,18432
416,59392,18432
417,61440,18432
418,63488,18432
419,65536,18432
420,67584,18432
421,69632,18432
422,71680,18432
423,73728,18432
424,75776,18432
425,77824,18432
426,79872,18432
432,4096,20480
434,8192,20480
435,10240,20480
436,12288,20480
437,14336,20480
438,16384,20480
439,18432,20480
440,20480,20480
441,22528,20480
442,24576,20480
443,26624,20480
444,28672,20480
445,30720,20480
446,32768,20480
459,59392,20480
460,61440,20480
461,63488,20480
462,65536,20480
463,67584,20480
464,69632,20480
465,71680,20480
466,73728,20480
467,75776,20480
468,77824,20480
475,4096,22528
477,8192,22528
478,10240,22528
479,12288,22528
480,14336,22528
481,16384,22528
482,18432,22528
483,20480,22528
484,22528,22528
485,24576,22528
486,26624,22528
487,28672,22528
488,30720,22528
503,61440,22528
509,73728,22528
510,75776,22528
519,6144,24576
520,8192,24576
521,10240,24576
522,12288,24576
523,14336,24576
524,16384,24576
525,18432,24576
526,20480,24576
527,22528,24576
528,24576,24576
529,26624,24576
530,28672,24576
563,8192,26624
564,10240,26624
565,12288,26624
566,14336,26624
567,16384,26624
568,18432,26624
569,20480,26624
570,22528,26624
571,24576,26624
572,26624,26624
573,28672,26624
605,6144,28672
606,8192,28672
607,10240,28672
608,12288,28672
609,14336,28672
610,16384,28672
611,18432,28672
612,20480,28672
613,22528,28672
614,24576,28672
650,10240,30720
654,18432,30720
655,20480,30720
656,22528,30720
657,24576,30720
