bag_id,x,y
6,12288,0
31,10240,2048
32,12288,2048
49,47104,2048
53,2048,4096
54,4096,4096
55,6144,4096
56,8192,4096
57,10240,4096
58,12288,4096
74,45056,4096
75,47104,4096
78,0,6144
79,2048,6144
80,4096,6144
81,6144,6144
82,8192,6144
83,10240,6144
84,12288,6144
85,14336,6144
96,36864,6144
97,38912,6144
98,40960,6144
99,43008,6144
100,45056,6144
101,47104,6144
105,2048,8192
106,4096,8192
107,6144,8192
108,8192,8192
109,10240,8192
110,12288,8192
111,14336,8192
121,34816,8192
122,36864,8192
123,38912,8192
124,40960,8192
125,43008,8192
126,45056,8192
127,47104,8192
128,49152,8192
132,4096,10240
133,6144,10240
134,8192,10240
135,10240,10240
136,12288,10240
137,14336,10240
148,36864,10240
149,38912,10240
150,40960,10240
151,43008,10240
152,45056,10240
153,47104,10240
154,49152,10240
157,2048,12288
158,4096,12288
159,6144,12288
160,8192,12288
161,10240,12288
162,12288,12288
163,14336,12288
164,16384,12288
174,36864,12288
175,38912,12288
176,40960,12288
177,43008,12288
178,45056,12288
179,47104,12288
180,49152,12288
183,2048,14336
184,4096,14336
185,6144,14336
187,10240,14336
188,12288,14336
189,14336,14336
190,16384,14336
191,18432,14336
200,36864,14336
201,38912,14336
202,40960,14336
203,43008,14336
204,45056,14336
205,47104,14336
206,49152,14336
214,12288,16384
215,14336,16384
216,16384,16384
217,18432,16384
227,38912,16384
230,45056,16384
231,47104,16384
232,49152,16384
257,47104,18432
258,49152,18432
