bag_id,x,y
104,86016,2048
105,88064,2048
166,86016,4096
167,88064,4096
168,90112,4096
169,92160,4096
170,94208,4096
177,108544,4096
178,110592,4096
191,10240,6144
192,12288,6144
193,14336,6144
194,16384,6144
203,34816,6144
227,83968,6144
228,86016,6144
229,88064,6144
230,90112,6144
231,92160,6144
232,94208,6144
233,96256,6144
234,98304,6144
235,100352,6144
236,102400,6144
237,104448,6144
238,106496,6144
239,108544,6144
240,110592,6144
252,8192,8192
253,10240,8192
254,12288,8192
255,14336,8192
256,16384,8192
257,18432,8192
258,20480,8192
259,22528,8192
260,24576,8192
261,26624,8192
265,34816,8192
266,36864,8192
286,77824,8192
287,79872,8192
288,81920,8192
289,83968,8192
290,86016,8192
291,88064,8192
292,90112,8192
293,92160,8192
294,94208,8192
295,96256,8192
296,98304,8192
297,100352,8192
298,102400,8192
299,104448,8192
300,106496,8192
312,4096,10240
313,6144,10240
314,8192,10240
315,10240,10240
316,12288,10240
317,14336,10240
318,16384,10240
319,18432,10240
320,20480,10240
321,22528,10240
322,24576,10240
323,26624,10240
324,28672,10240
349,79872,10240
350,81920,10240
351,83968,10240
352,86016,10240
353,88064,10240
354,90112,10240
355,92160,10240
356,94208,10240
357,96256,10240
358,98304,10240
359,100352,10240
360,102400,10240
361,104448,10240
362,106496,10240
363,108544,10240
364,110592,10240
365,112640,10240
373,2048,12288
374,4096,12288
375,6144,12288
376,8192,12288
377,10240,12288
378,12288,12288
379,14336,12288
380,16384,12288
381,18432,12288
382,20480,12288
383,22528,12288
384,24576,12288
385,26624,12288
386,28672,12288
387,30720,12288
388,32768,12288
389,34816,12288
413,83968,12288
414,86016,12288
415,88064,12288
416,90112,12288
417,92160,12288
418,94208,12288
419,96256,12288
420,98304,12288
421,100352,12288
422,102400,12288
423,104448,12288
424,106496,12288
425,108544,12288
426,110592,12288
427,112640,12288
436,4096,14336
437,6144,14336
438,8192,14336
439,10240,14336
440,12288,14336
441,14336,14336
442,16384,14336
443,18432,14336
444,20480,14336
445,22528,14336
446,24576,14336
447,26624,14336
448,28672,14336
449,30720,14336
450,32768,14336
451,34816,14336
452,36864,14336
453,38912,14336
476,86016,14336
477,88064,14336
478,90112,14336
479,92160,14336
480,94208,14336
481,96256,14336
482,98304,14336
483,100352,14336
484,102400,14336
485,104448,14336
486,106496,14336
487,108544,14336
488,110592,14336
489,112640,14336
490,114688,14336
491,116736,14336
492,118784,14336
500,8192,16384
501,10240,16384
502,12288,16384
503,14336,16384
504,16384,16384
505,18432,16384
506,20480,16384
507,22528,16384
508,24576,16384
509,26624,16384
510,28672,16384
511,30720,16384
512,32768,16384
513,34816,16384
514,36864,16384
515,38912,16384
516,40960,16384
547,104448,16384
548,106496,16384
549,108544,16384
550,110592,16384
551,112640,16384
552,114688,16384
553,116736,16384
554,118784,16384
567,18432,18432
572,28672,18432
573,30720,18432
574,32768,18432
575,34816,18432
576,36864,18432
577,38912,18432
578,40960,18432
579,43008,18432
580,45056,18432
610,106496,18432
611,108544,18432
612,110592,18432
613,112640,18432
614,114688,18432
615,116736,18432
616,118784,18432
617,120832,18432
635,30720,20480
636,32768,20480
637,34816,20480
638,36864,20480
639,38912,20480
640,40960,20480
641,43008,20480
642,45056,20480
665,92160,20480
666,94208,20480
669,100352,20480
670,102400,20480
671,104448,20480
672,106496,20480
673,108544,20480
674,110592,20480
675,112640,20480
676,114688,20480
677,116736,20480
678,118784,20480
691,18432,22528
694,24576,22528
695,26624,22528
696,28672,22528
697,30720,22528
698,32768,22528
699,34816,22528
700,36864,22528
701,38912,22528
702,40960,22528
703,43008,22528
731,100352,22528
732,102400,22528
733,104448,22528
734,106496,22528
735,108544,22528
736,110592,22528
737,112640,22528
738,114688,22528
756,24576,24576
757,26624,24576
758,28672,24576
759,30720,24576
760,32768,24576
761,34816,24576
762,36864,24576
789,92160,24576
790,94208,24576
793,100352,24576
794,102400,24576
795,104448,24576
796,106496,24576
797,108544,24576
798,110592,24576
814,16384,26624
815,18432,26624
818,24576,26624
819,26624,26624
820,28672,26624
821,30720,26624
822,32768,26624
850,90112,26624
851,92160,26624
852,94208,26624
853,96256,26624
855,100352,26624
856,102400,26624
857,104448,26624
875,14336,28672
876,16384,28672
877,18432,28672
878,20480,28672
880,24576,28672
881,26624,28672
882,28672,28672
887,38912,28672
912,90112,28672
913,92160,28672
914,94208,28672
915,96256,28672
937,14336,30720
938,16384,30720
939,18432,30720
940,20480,30720
974,90112,30720
975,92160,30720
976,94208,30720
977,96256,30720
1000,16384,32768
1001,18432,32768
1002,20480,32768
