bag_id,x,y
4,8192,0
5,10240,0
6,12288,0
7,14336,0
17,6144,2048
18,8192,2048
19,10240,2048
20,12288,2048
21,14336,2048
22,16384,2048
23,18432,2048
30,4096,4096
31,6144,4096
32,8192,4096
33,10240,4096
34,12288,4096
35,14336,4096
36,16384,4096
37,18432,4096
38,20480,4096
39,22528,4096
44,4096,6144
45,6144,6144
46,8192,6144
47,10240,6144
48,12288,6144
49,14336,6144
50,16384,6144
51,18432,6144
52,20480,6144
53,22528,6144
54,24576,6144
55,26624,6144
57,2048,8192
58,4096,8192
59,6144,8192
60,8192,8192
61,10240,8192
62,12288,8192
63,14336,8192
64,16384,8192
65,18432,8192
66,20480,8192
67,22528,8192
68,24576,8192
69,26624,8192
71,2048,10240
72,4096,10240
73,6144,10240
74,8192,10240
75,10240,10240
76,12288,10240
77,14336,10240
78,16384,10240
79,18432,10240
80,20480,10240
81,22528,10240
82,24576,10240
83,26624,10240
84,0,12288
85,2048,12288
86,4096,12288
87,6144,12288
88,8192,12288
89,10240,12288
90,12288,12288
91,14336,12288
92,16384,12288
93,18432,12288
94,20480,12288
95,22528,12288
96,24576,12288
97,26624,12288
99,2048,14336
100,4096,14336
101,6144,14336
102,8192,14336
103,10240,14336
104,12288,14336
105,14336,14336
106,16384,14336
107,18432,14336
108,20480,14336
109,22528,14336
110,24576,14336
111,26624,14336
112,0,16384
113,2048,16384
114,4096,16384
115,6144,16384
116,8192,16384
117,10240,16384
118,12288,16384
119,14336,16384
120,16384,16384
121,18432,16384
122,20480,16384
123,22528,16384
124,24576,16384
125,26624,16384
127,2048,18432
128,4096,18432
129,6144,18432
130,8192,18432
131,10240,18432
132,12288,18432
133,14336,18432
134,16384,18432
135,18432,18432
136,20480,18432
137,22528,18432
138,24576,18432
139,26624,18432
143,6144,20480
144,8192,20480
145,10240,20480
146,12288,20480
147,14336,20480
148,16384,20480
149,18432,20480
150,20480,20480
151,22528,20480
152,24576,20480
158,8192,22528
159,10240,22528
160,12288,22528
161,14336,22528
162,16384,22528
163,18432,22528
164,20480,22528
165,22528,22528
166,24576,22528
175,14336,24576
176,16384,24576
177,18432,24576
178,20480,24576
