bag_id,x,y
8,16384,0
9,18432,0
10,20480,0
18,12288,2048
19,14336,2048
20,16384,2048
21,18432,2048
22,20480,2048
23,22528,2048
29,10240,4096
30,12288,4096
31,14336,4096
32,16384,4096
33,18432,4096
34,20480,4096
35,22528,4096
40,8192,6144
41,10240,6144
42,12288,6144
43,14336,6144
44,16384,6144
45,18432,6144
46,20480,6144
47,22528,6144
51,6144,8192
52,8192,8192
53,10240,8192
54,12288,8192
55,14336,8192
56,16384,8192
57,18432,8192
58,20480,8192
59,22528,8192
62,4096,10240
63,6144,10240
64,8192,10240
65,10240,10240
66,12288,10240
67,14336,10240
68,16384,10240
69,18432,10240
70,20480,10240
71,22528,10240
73,2048,12288
74,4096,12288
75,6144,12288
76,8192,12288
77,10240,12288
78,12288,12288
79,14336,12288
80,16384,12288
81,18432,12288
82,20480,12288
84,0,14336
85,2048,14336
86,4096,14336
87,6144,14336
88,8192,14336
89,10240,14336
90,12288,14336
91,14336,14336
92,16384,14336
93,18432,14336
97,2048,16384
98,4096,16384
99,6144,16384
100,8192,16384
101,10240,16384
102,12288,16384
103,14336,16384
104,16384,16384
105,18432,16384
109,2048,18432
110,4096,18432
111,6144,18432
112,8192,18432
113,10240,18432
114,12288,18432
115,14336,18432
116,16384,18432
121,2048,20480
122,4096,20480
123,6144,20480
124,8192,20480
125,10240,20480
126,12288,20480
127,14336,20480
133,2048,22528
134,4096,22528
135,6144,22528
136,8192,22528
137,10240,22528
138,12288,22528
139,14336,22528
145,2048,24576
146,4096,24576
147,6144,24576
148,8192,24576
149,10240,24576
150,12288,24576
151,14336,24576
157,2048,26624
158,4096,26624
159,6144,26624
160,8192,26624
161,10240,26624
162,12288,26624
163,14336,26624
170,4096,28672
171,6144,28672
172,8192,28672
173,10240,28672
174,12288,28672
175,14336,28672
176,16384,28672
