bag_id,x,y
2,4096,0
3,6144,0
4,8192,0
5,10240,0
8,4096,2048
9,6144,2048
10,8192,2048
11,10240,2048
13,2048,4096
14,4096,4096
15,6144,4096
16,8192,4096
19,2048,6144
20,4096,6144
21,6144,6144
22,8192,6144
25,2048,8192
26,4096,8192
27,6144,8192
28,8192,8192
29,10240,8192
31,2048,10240
32,4096,10240
33,6144,10240
34,8192,10240
35,10240,10240
37,2048,12288
38,4096,12288
39,6144,12288
40,8192,12288
41,10240,12288
42,0,14336
43,2048,14336
44,4096,14336
45,6144,14336
46,8192,14336
47,10240,14336
48,0,16384
49,2048,16384
50,4096,16384
51,6144,16384
52,8192,16384
53,10240,16384
57,6144,18432
58,8192,18432
59,10240,18432
63,6144,20480
64,8192,20480
65,10240,20480
