bag_id,x,y
7,14336,0
8,16384,0
9,18432,0
21,10240,2048
22,12288,2048
23,14336,2048
24,16384,2048
25,18432,2048
26,20480,2048
27,22528,2048
28,24576,2048
36,8192,4096
37,10240,4096
38,12288,4096
39,14336,4096
40,16384,4096
41,18432,4096
42,20480,4096
43,22528,4096
44,24576,4096
45,26624,4096
50,4096,6144
51,6144,6144
52,8192,6144
53,10240,6144
54,12288,6144
55,14336,6144
56,16384,6144
57,18432,6144
58,20480,6144
59,22528,6144
60,24576,6144
61,26624,6144
62,28672,6144
66,4096,8192
67,6144,8192
68,8192,8192
69,10240,8192
70,12288,8192
71,14336,8192
72,16384,8192
73,18432,8192
74,20480,8192
75,22528,8192
76,24576,8192
77,26624,8192
78,28672,8192
79,30720,8192
81,2048,10240
82,4096,10240
83,6144,10240
84,8192,10240
85,10240,10240
86,12288,10240
87,14336,10240
88,16384,10240
89,18432,10240
90,20480,10240
91,22528,10240
92,24576,10240
93,26624,10240
94,28672,10240
95,30720,10240
97,2048,12288
98,4096,12288
99,6144,12288
100,8192,12288
101,10240,12288
102,12288,12288
103,14336,12288
104,16384,12288
105,18432,12288
108,24576,12288
109,26624,12288
110,28672,12288
111,30720,12288
113,2048,14336
114,4096,14336
115,6144,14336
116,8192,14336
117,10240,14336
119,14336,14336
120,16384,14336
124,24576,14336
125,26624,14336
126,28672,14336
127,30720,14336
128,0,16384
129,2048,16384
130,4096,16384
131,6144,16384
132,8192,16384
139,22528,16384
140,24576,16384
141,26624,16384
142,28672,16384
143,30720,16384
145,2048,18432
146,4096,18432
147,6144,18432
148,8192,18432
156,24576,18432
157,26624,18432
158,28672,18432
159,30720,18432
161,2048,20480
162,4096,20480
163,6144,20480
164,8192,20480
165,10240,20480
173,26624,20480
174,28672,20480
175,30720,20480
177,2048,22528
178,4096,22528
179,6144,22528
180,8192,22528
181,10240,22528
182,12288,22528
190,28672,22528
191,30720,22528
194,4096,24576
195,6144,24576
196,8192,24576
197,10240,24576
204,24576,24576
205,26624,24576
206,28672,24576
207,30720,24576
210,4096,26624
211,6144,26624
212,8192,26624
213,10240,26624
217,18432,26624
218,20480,26624
219,22528,26624
220,24576,26624
221,26624,26624
227,6144,28672
228,8192,28672
229,10240,28672
230,12288,28672
231,14336,28672
232,16384,28672
233,18432,28672
234,20480,28672
235,22528,28672
236,24576,28672
237,26624,28672
246,12288,30720
247,14336,30720
248,16384,30720
249,18432,30720
