bag_id,x,y
34,69632,0
35,71680,0
39,79872,0
40,81920,0
41,83968,0
42,86016,0
85,67584,2048
86,69632,2048
87,71680,2048
88,73728,2048
89,75776,2048
90,77824,2048
91,79872,2048
92,81920,2048
93,83968,2048
94,86016,2048
95,88064,2048
137,67584,4096
138,69632,4096
139,71680,4096
140,73728,4096
141,75776,4096
142,77824,4096
143,79872,4096
144,81920,4096
145,83968,4096
146,86016,4096
147,88064,4096
148,90112,4096
149,92160,4096
189,67584,6144
190,69632,6144
191,71680,6144
192,73728,6144
193,75776,6144
194,77824,6144
195,79872,6144
196,81920,6144
197,83968,6144
198,86016,6144
199,88064,6144
200,90112,6144
201,92160,6144
202,94208,6144
210,4096,8192
213,10240,8192
214,12288,8192
215,14336,8192
216,16384,8192
217,18432,8192
218,20480,8192
243,71680,8192
244,73728,8192
245,75776,8192
246,77824,8192
247,79872,8192
248,81920,8192
249,83968,8192
250,86016,8192
251,88064,8192
252,90112,8192
253,92160,8192
254,94208,8192
255,96256,8192
261,2048,10240
262,4096,10240
263,6144,10240
264,8192,10240
265,10240,10240
266,12288,10240
267,14336,10240
268,16384,10240
269,18432,10240
270,20480,10240
271,22528,10240
272,24576,10240
295,71680,10240
296,73728,10240
297,75776,10240
298,77824,10240
299,79872,10240
300,81920,10240
301,83968,10240
302,86016,10240
303,88064,10240
304,90112,10240
305,92160,10240
306,94208,10240
307,96256,10240
313,2048,12288
314,4096,12288
315,6144,12288
316,8192,12288
317,10240,12288
318,12288,12288
319,14336,12288
320,16384,12288
321,18432,12288
322,20480,12288
323,22528,12288
324,24576,12288
325,26624,12288
347,71680,12288
348,73728,12288
349,75776,12288
350,77824,12288
351,79872,12288
352,81920,12288
353,83968,12288
354,86016,12288
355,88064,12288
356,90112,12288
357,92160,12288
358,94208,12288
359,96256,12288
365,2048,14336
366,4096,14336
367,6144,14336
368,8192,14336
369,10240,14336
370,12288,14336
371,14336,14336
372,16384,14336
373,18432,14336
374,20480,14336
375,22528,14336
376,24576,14336
377,26624,14336
378,28672,14336
398,69632,14336
399,71680,14336
400,73728,14336
401,75776,14336
402,77824,14336
403,79872,14336
404,81920,14336
405,83968,14336
406,86016,14336
407,88064,14336
408,90112,14336
409,92160,14336
410,94208,14336
411,96256,14336
418,4096,16384
419,6144,16384
420,8192,16384
421,10240,16384
422,12288,16384
423,14336,16384
424,16384,16384
425,18432,16384
426,20480,16384
427,22528,16384
428,24576,16384
429,26624,16384
430,28672,16384
449,67584,16384
450,69632,16384
451,71680,16384
452,73728,16384
453,75776,16384
454,77824,16384
455,79872,16384
456,81920,16384
457,83968,16384
458,86016,16384
459,88064,16384
460,90112,16384
461,92160,16384
462,94208,16384
463,96256,16384
471,6144,18432
472,8192,18432
473,10240,18432
474,12288,18432
475,14336,18432
476,16384,18432
477,18432,18432
478,20480,18432
479,22528,18432
480,24576,18432
481,26624,18432
482,28672,18432
502,69632,18432
503,71680,18432
504,73728,18432
505,75776,18432
506,77824,18432
507,79872,18432
508,81920,18432
509,83968,18432
510,86016,18432
511,88064,18432
512,90112,18432
513,92160,18432
514,94208,18432
515,96256,18432
523,6144,20480
524,8192,20480
525,10240,20480
526,12288,20480
527,14336,20480
528,16384,20480
529,18432,20480
530,20480,20480
531,22528,20480
532,24576,20480
533,26624,20480
534,28672,20480
535,30720,20480
558,77824,20480
559,79872,20480
560,81920,20480
561,83968,20480
562,86016,20480
563,88064,20480
564,90112,20480
565,92160,20480
566,94208,20480
567,96256,20480
575,6144,22528
576,8192,22528
577,10240,22528
578,12288,22528
579,14336,22528
580,16384,22528
581,18432,22528
582,20480,22528
583,22528,22528
584,24576,22528
585,26624,22528
586,28672,22528
587,30720,22528
615,88064,22528
616,90112,22528
617,92160,22528
618,94208,22528
619,96256,22528
625,2048,24576
626,4096,24576
627,6144,24576
628,8192,24576
629,10240,24576
630,12288,24576
631,14336,24576
632,16384,24576
633,18432,24576
634,20480,24576
635,22528,24576
636,24576,24576
637,26624,24576
638,28672,24576
639,30720,24576
669,92160,24576
670,94208,24576
671,96256,24576
678,4096,26624
679,6144,26624
680,8192,26624
681,10240,26624
682,12288,26624
683,14336,26624
684,16384,26624
685,18432,26624
686,20480,26624
687,22528,26624
688,24576,26624
689,26624,26624
690,28672,26624
691,30720,26624
737,18432,28672
738,20480,28672
739,22528,28672
740,24576,28672
741,26624,28672
742,28672,28672
743,30720,28672
793,26624,30720
