bag_id,x,y
1,2048,0
8,0,2048
9,2048,2048
10,4096,2048
16,0,4096
17,2048,4096
18,4096,4096
19,6144,4096
20,8192,4096
24,0,6144
25,2048,6144
26,4096,6144
27,6144,6144
28,8192,6144
29,10240,6144
30,12288,6144
32,0,8192
33,2048,8192
34,4096,8192
35,6144,8192
36,8192,8192
37,10240,8192
38,12288,8192
39,14336,8192
40,0,10240
41,2048,10240
42,4096,10240
43,6144,10240
44,8192,10240
45,10240,10240
46,12288,10240
47,14336,10240
49,2048,12288
50,4096,12288
51,6144,12288
52,8192,12288
53,10240,12288
54,12288,12288
57,2048,14336
58,4096,14336
59,6144,14336
60,8192,14336
61,10240,14336
62,12288,14336
63,14336,14336
65,2048,16384
66,4096,16384
67,6144,16384
68,8192,16384
69,10240,16384
70,12288,16384
71,14336,16384
74,4096,18432
75,6144,18432
76,8192,18432
77,10240,18432
78,12288,18432
79,14336,18432
82,4096,20480
83,6144,20480
84,8192,20480
85,10240,20480
86,12288,20480
87,14336,20480
