bag_id,x,y
11,0,2048
12,2048,2048
13,4096,2048
14,6144,2048
15,8192,2048
16,10240,2048
23,2048,4096
24,4096,4096
25,6144,4096
26,8192,4096
27,10240,4096
39,12288,6144
40,14336,6144
41,16384,6144
50,12288,8192
51,14336,8192
52,16384,8192
53,18432,8192
56,2048,10240
57,4096,10240
58,6144,10240
59,8192,10240
63,16384,10240
64,18432,10240
65,20480,10240
66,0,12288
67,2048,12288
68,4096,12288
69,6144,12288
70,8192,12288
71,10240,12288
74,16384,12288
75,18432,12288
76,20480,12288
79,4096,14336
80,6144,14336
81,8192,14336
82,10240,14336
83,12288,14336
85,16384,14336
86,18432,14336
87,20480,14336
92,8192,16384
93,10240,16384
94,12288,16384
95,14336,16384
96,16384,16384
97,18432,16384
98,20480,16384
