bag_id,x,y
3,6144,0
36,4096,2048
37,6144,2048
38,8192,2048
69,2048,4096
70,4096,4096
71,6144,4096
72,8192,4096
73,10240,4096
95,55296,4096
96,57344,4096
97,59392,4096
98,61440,4096
103,2048,6144
104,4096,6144
105,6144,6144
106,8192,6144
107,10240,6144
129,55296,6144
130,57344,6144
131,59392,6144
132,61440,6144
137,2048,8192
138,4096,8192
139,6144,8192
140,8192,8192
141,10240,8192
163,55296,8192
164,57344,8192
165,59392,8192
166,61440,8192
167,63488,8192
171,2048,10240
172,4096,10240
173,6144,10240
174,8192,10240
175,10240,10240
196,53248,10240
197,55296,10240
198,57344,10240
199,59392,10240
200,61440,10240
201,63488,10240
202,65536,10240
205,2048,12288
206,4096,12288
207,6144,12288
208,8192,12288
230,53248,12288
231,55296,12288
232,57344,12288
233,59392,12288
234,61440,12288
235,63488,12288
236,65536,12288
239,2048,14336
240,4096,14336
241,6144,14336
264,53248,14336
265,55296,14336
266,57344,14336
267,59392,14336
268,61440,14336
269,63488,14336
270,65536,14336
298,53248,16384
299,55296,16384
300,57344,16384
301,59392,16384
302,61440,16384
