bag_id,x,y
6,12288,0
7,14336,0
54,10240,2048
55,12288,2048
56,14336,2048
57,16384,2048
58,18432,2048
59,20480,2048
60,22528,2048
102,8192,4096
103,10240,4096
104,12288,4096
105,14336,4096
106,16384,4096
107,18432,4096
108,20480,4096
109,22528,4096
110,24576,4096
111,26624,4096
112,28672,4096
136,77824,4096
137,79872,4096
138,81920,4096
139,83968,4096
150,6144,6144
151,8192,6144
152,10240,6144
153,12288,6144
154,14336,6144
155,16384,6144
156,18432,6144
157,20480,6144
158,22528,6144
159,24576,6144
160,26624,6144
161,28672,6144
184,75776,6144
185,77824,6144
186,79872,6144
187,81920,6144
188,83968,6144
189,86016,6144
190,88064,6144
191,90112,6144
192,92160,6144
198,4096,8192
199,6144,8192
200,8192,8192
201,10240,8192
202,12288,8192
203,14336,8192
204,16384,8192
205,18432,8192
206,20480,8192
207,22528,8192
208,24576,8192
209,26624,8192
232,73728,8192
233,75776,8192
234,77824,8192
235,79872,8192
236,81920,8192
237,83968,8192
238,86016,8192
239,88064,8192
240,90112,8192
241,92160,8192
242,94208,8192
247,4096,10240
248,6144,10240
249,8192,10240
250,10240,10240
251,12288,10240
252,14336,10240
253,16384,10240
254,18432,10240
255,20480,10240
256,22528,10240
257,24576,10240
258,26624,10240
259,28672,10240
279,69632,10240
280,71680,10240
281,73728,10240
282,75776,10240
283,77824,10240
284,79872,10240
285,81920,10240
286,83968,10240
287,86016,10240
288,88064,10240
289,90112,10240
290,92160,10240
291,94208,10240
295,2048,12288
296,4096,12288
297,6144,12288
298,8192,12288
299,10240,12288
300,12288,12288
301,14336,12288
302,16384,12288
303,18432,12288
304,20480,12288
305,22528,12288
306,24576,12288
307,26624,12288
308,28672,12288
328,69632,12288
329,71680,12288
330,73728,12288
331,75776,12288
332,77824,12288
333,79872,12288
334,81920,12288
335,83968,12288
336,86016,12288
337,88064,12288
338,90112,12288
339,92160,12288
340,94208,12288
344,2048,14336
345,4096,14336
346,6144,14336
347,8192,14336
348,10240,14336
349,12288,14336
350,14336,14336
351,16384,14336
352,18432,14336
353,20480,14336
354,22528,14336
355,24576,14336
356,26624,14336
357,28672,14336
377,69632,14336
378,71680,14336
379,73728,14336
380,75776,14336
381,77824,14336
382,79872,14336
383,81920,14336
384,83968,14336
385,86016,14336
386,88064,14336
387,90112,14336
388,92160,14336
389,94208,14336
393,2048,16384
394,4096,16384
395,6144,16384
396,8192,16384
397,10240,16384
398,12288,16384
399,14336,16384
400,16384,16384
401,18432,16384
402,20480,16384
403,22528,16384
404,24576,16384
405,26624,16384
406,28672,16384
426,69632,16384
427,71680,16384
428,73728,16384
429,75776,16384
430,77824,16384
431,79872,16384
432,81920,16384
433,83968,16384
434,86016,16384
435,88064,16384
436,90112,16384
437,92160,16384
438,94208,16384
445,8192,18432
446,10240,18432
447,12288,18432
449,16384,18432
450,18432,18432
451,20480,18432
452,22528,18432
453,24576,18432
454,26624,18432
455,28672,18432
475,69632,18432
476,71680,18432
477,73728,18432
478,75776,18432
479,77824,18432
480,79872,18432
481,81920,18432
482,83968,18432
483,86016,18432
484,88064,18432
485,90112,18432
486,92160,18432
487,94208,18432
525,71680,20480
526,73728,20480
527,75776,20480
528,77824,20480
529,79872,20480
530,81920,20480
531,83968,20480
532,86016,20480
533,88064,20480
534,90112,20480
535,92160,20480
536,94208,20480
537,96256,20480
581,86016,22528
582,88064,22528
583,90112,22528
584,92160,22528
585,94208,22528
