bag_id,x,y
22,4096,2048
23,6144,2048
42,4096,4096
43,6144,4096
44,8192,4096
56,32768,4096
61,2048,6144
62,4096,6144
63,6144,6144
64,8192,6144
65,10240,6144
76,32768,6144
77,34816,6144
78,36864,6144
80,0,8192
81,2048,8192
82,4096,8192
83,6144,8192
84,8192,8192
85,10240,8192
95,30720,8192
96,32768,8192
97,34816,8192
98,36864,8192
99,38912,8192
100,0,10240
101,2048,10240
102,4096,10240
103,6144,10240
104,8192,10240
105,10240,10240
115,30720,10240
116,32768,10240
117,34816,10240
118,36864,10240
119,38912,10240
120,0,12288
121,2048,12288
122,4096,12288
123,6144,12288
124,8192,12288
135,30720,12288
136,32768,12288
137,34816,12288
138,36864,12288
139,38912,12288
142,4096,14336
143,6144,14336
155,30720,14336
156,32768,14336
157,34816,14336
158,36864,14336
159,38912,14336
175,30720,16384
176,32768,16384
177,34816,16384
178,36864,16384
