bag_id,x,y
2,4096,0
3,6144,0
26,2048,2048
27,4096,2048
28,6144,2048
29,8192,2048
43,36864,2048
44,38912,2048
51,2048,4096
52,4096,4096
53,6144,4096
54,8192,4096
55,10240,4096
56,12288,4096
57,14336,4096
67,34816,4096
68,36864,4096
69,38912,4096
70,40960,4096
76,2048,6144
77,4096,6144
78,6144,6144
79,8192,6144
80,10240,6144
81,12288,6144
82,14336,6144
92,34816,6144
93,36864,6144
94,38912,6144
95,40960,6144
96,43008,6144
97,45056,6144
98,47104,6144
101,2048,8192
102,4096,8192
103,6144,8192
104,8192,8192
105,10240,8192
106,12288,8192
107,14336,8192
117,34816,8192
118,36864,8192
119,38912,8192
120,40960,8192
121,43008,8192
122,45056,8192
123,47104,8192
127,4096,10240
128,6144,10240
129,8192,10240
130,10240,10240
131,12288,10240
143,36864,10240
144,38912,10240
145,40960,10240
146,43008,10240
147,45056,10240
148,47104,10240
152,4096,12288
153,6144,12288
154,8192,12288
168,36864,12288
169,38912,12288
170,40960,12288
171,43008,12288
172,45056,12288
173,47104,12288
176,2048,14336
177,4096,14336
178,6144,14336
194,38912,14336
195,40960,14336
202,4096,16384
218,36864,16384
219,38912,16384
