bag_id,x,y
23,4096,2048
24,6144,2048
25,8192,2048
26,10240,2048
44,4096,4096
45,6144,4096
46,8192,4096
47,10240,4096
48,12288,4096
59,34816,4096
60,36864,4096
61,38912,4096
64,2048,6144
65,4096,6144
66,6144,6144
67,8192,6144
68,10240,6144
69,12288,6144
79,32768,6144
80,34816,6144
81,36864,6144
82,38912,6144
83,40960,6144
85,2048,8192
86,4096,8192
87,6144,8192
88,8192,8192
89,10240,8192
100,32768,8192
101,34816,8192
102,36864,8192
103,38912,8192
104,40960,8192
107,4096,10240
108,6144,10240
109,8192,10240
120,30720,10240
121,32768,10240
122,34816,10240
123,36864,10240
124,38912,10240
142,32768,12288
143,34816,12288
144,36864,12288
