bag_id,x,y
47,2048,2048
48,4096,2048
49,6144,2048
93,2048,4096
94,4096,4096
95,6144,4096
96,8192,4096
97,10240,4096
98,12288,4096
99,14336,4096
100,16384,4096
101,18432,4096
102,20480,4096
124,65536,4096
139,2048,6144
140,4096,6144
141,6144,6144
142,8192,6144
143,10240,6144
144,12288,6144
145,14336,6144
146,16384,6144
147,18432,6144
148,20480,6144
149,22528,6144
150,24576,6144
169,63488,6144
170,65536,6144
171,67584,6144
172,69632,6144
174,73728,6144
175,75776,6144
176,77824,6144
177,79872,6144
185,2048,8192
186,4096,8192
187,6144,8192
188,8192,8192
189,10240,8192
190,12288,8192
191,14336,8192
192,16384,8192
193,18432,8192
194,20480,8192
195,22528,8192
196,24576,8192
197,26624,8192
198,28672,8192
215,63488,8192
216,65536,8192
217,67584,8192
218,69632,8192
219,71680,8192
220,73728,8192
221,75776,8192
222,77824,8192
223,79872,8192
224,81920,8192
225,83968,8192
231,2048,10240
232,4096,10240
233,6144,10240
234,8192,10240
235,10240,10240
236,12288,10240
237,14336,10240
238,16384,10240
239,18432,10240
240,20480,10240
241,22528,10240
242,24576,10240
243,26624,10240
244,28672,10240
261,63488,10240
262,65536,10240
263,67584,10240
264,69632,10240
265,71680,10240
266,73728,10240
267,75776,10240
268,77824,10240
269,79872,10240
270,81920,10240
271,83968,10240
272,86016,10240
273,88064,10240
274,90112,10240
277,2048,12288
278,4096,12288
279,6144,12288
280,8192,12288
281,10240,12288
282,12288,12288
283,14336,12288
284,16384,12288
285,18432,12288
286,20480,12288
287,22528,12288
288,24576,12288
289,26624,12288
290,28672,12288
307,63488,12288
308,65536,12288
309,67584,12288
310,69632,12288
311,71680,12288
312,73728,12288
313,75776,12288
314,77824,12288
315,79872,12288
316,81920,12288
317,83968,12288
318,86016,12288
319,88064,12288
320,90112,12288
323,2048,14336
324,4096,14336
325,6144,14336
326,8192,14336
327,10240,14336
328,12288,14336
329,14336,14336
330,16384,14336
331,18432,14336
332,20480,14336
333,22528,14336
334,24576,14336
335,26624,14336
353,63488,14336
354,65536,14336
355,67584,14336
356,69632,14336
357,71680,14336
358,73728,14336
359,75776,14336
360,77824,14336
361,79872,14336
362,81920,14336
363,83968,14336
364,86016,14336
365,88064,14336
366,90112,14336
372,8192,16384
373,10240,16384
374,12288,16384
375,14336,16384
376,16384,16384
377,18432,16384
399,63488,16384
400,65536,16384
401,67584,16384
402,69632,16384
403,71680,16384
404,73728,16384
405,75776,16384
406,77824,16384
407,79872,16384
408,81920,16384
409,83968,16384
410,86016,16384
411,88064,16384
445,63488,18432
446,65536,18432
448,69632,18432
449,71680,18432
450,73728,18432
451,75776,18432
452,77824,18432
453,79872,18432
454,81920,18432
455,83968,18432
