bag_id,x,y
28,8192,2048
29,10240,2048
30,12288,2048
51,6144,4096
52,8192,4096
53,10240,4096
54,12288,4096
55,14336,4096
67,38912,4096
68,40960,4096
69,43008,4096
70,45056,4096
74,4096,6144
75,6144,6144
76,8192,6144
77,10240,6144
78,12288,6144
90,36864,6144
91,38912,6144
92,40960,6144
93,43008,6144
94,45056,6144
97,2048,8192
98,4096,8192
99,6144,8192
100,8192,8192
101,10240,8192
102,12288,8192
113,34816,8192
114,36864,8192
115,38912,8192
116,40960,8192
117,43008,8192
118,45056,8192
120,0,10240
121,2048,10240
122,4096,10240
123,6144,10240
124,8192,10240
136,32768,10240
137,34816,10240
138,36864,10240
139,38912,10240
140,40960,10240
144,0,12288
145,2048,12288
146,4096,12288
147,6144,12288
148,8192,12288
160,32768,12288
161,34816,12288
162,36864,12288
163,38912,12288
169,2048,14336
170,4096,14336
171,6144,14336
172,8192,14336
184,32768,14336
185,34816,14336
186,36864,14336
187,38912,14336
210,36864,16384
