bag_id,x,y
15,30720,0
16,32768,0
17,34816,0
18,36864,0
63,16384,2048
64,18432,2048
65,20480,2048
66,22528,2048
67,24576,2048
68,26624,2048
70,30720,2048
71,32768,2048
72,34816,2048
73,36864,2048
74,38912,2048
114,8192,4096
115,10240,4096
116,12288,4096
117,14336,4096
118,16384,4096
119,18432,4096
120,20480,4096
121,22528,4096
122,24576,4096
123,26624,4096
124,28672,4096
125,30720,4096
126,32768,4096
127,34816,4096
128,36864,4096
129,38912,4096
130,40960,4096
167,4096,6144
168,6144,6144
169,8192,6144
170,10240,6144
171,12288,6144
172,14336,6144
173,16384,6144
174,18432,6144
175,20480,6144
176,22528,6144
177,24576,6144
178,26624,6144
179,28672,6144
180,30720,6144
181,32768,6144
182,34816,6144
183,36864,6144
184,38912,6144
185,40960,6144
222,4096,8192
223,6144,8192
224,8192,8192
225,10240,8192
226,12288,8192
227,14336,8192
228,16384,8192
229,18432,8192
230,20480,8192
231,22528,8192
232,24576,8192
233,26624,8192
234,28672,8192
235,30720,8192
236,32768,8192
237,34816,8192
238,36864,8192
239,38912,8192
268,98304,8192
269,100352,8192
270,102400,8192
277,4096,10240
278,6144,10240
279,8192,10240
280,10240,10240
281,12288,10240
282,14336,10240
283,16384,10240
284,18432,10240
288,26624,10240
289,28672,10240
290,30720,10240
291,32768,10240
292,34816,10240
293,36864,10240
294,38912,10240
316,83968,10240
317,86016,10240
318,88064,10240
319,90112,10240
320,92160,10240
322,96256,10240
323,98304,10240
324,100352,10240
325,102400,10240
326,104448,10240
366,73728,12288
367,75776,12288
368,77824,12288
369,79872,12288
370,81920,12288
371,83968,12288
372,86016,12288
373,88064,12288
374,90112,12288
375,92160,12288
376,94208,12288
377,96256,12288
378,98304,12288
379,100352,12288
380,102400,12288
381,104448,12288
382,106496,12288
420,71680,14336
421,73728,14336
422,75776,14336
423,77824,14336
424,79872,14336
425,81920,14336
426,83968,14336
427,86016,14336
428,88064,14336
429,90112,14336
430,92160,14336
431,94208,14336
432,96256,14336
433,98304,14336
434,100352,14336
435,102400,14336
436,104448,14336
437,106496,14336
474,69632,16384
475,71680,16384
476,73728,16384
477,75776,16384
478,77824,16384
479,79872,16384
480,81920,16384
481,83968,16384
482,86016,16384
483,88064,16384
484,90112,16384
485,92160,16384
486,94208,16384
487,96256,16384
488,98304,16384
489,100352,16384
490,102400,16384
491,104448,16384
529,69632,18432
530,71680,18432
531,73728,18432
532,75776,18432
533,77824,18432
534,79872,18432
535,81920,18432
536,83968,18432
539,90112,18432
540,92160,18432
541,94208,18432
542,96256,18432
543,98304,18432
544,100352,18432
545,102400,18432
546,104448,18432
