bag_id,x,y
13,26624,0
14,28672,0
15,30720,0
16,32768,0
33,26624,2048
34,28672,2048
35,30720,2048
36,32768,2048
37,34816,2048
42,4096,4096
43,6144,4096
44,8192,4096
45,10240,4096
53,26624,4096
54,28672,4096
55,30720,4096
56,32768,4096
57,34816,4096
58,36864,4096
61,2048,6144
62,4096,6144
63,6144,6144
64,8192,6144
65,10240,6144
66,12288,6144
72,24576,6144
73,26624,6144
74,28672,6144
75,30720,6144
76,32768,6144
77,34816,6144
78,36864,6144
79,38912,6144
80,0,8192
81,2048,8192
82,4096,8192
83,6144,8192
84,8192,8192
85,10240,8192
86,12288,8192
92,24576,8192
93,26624,8192
94,28672,8192
100,0,10240
101,2048,10240
102,4096,10240
103,6144,10240
104,8192,10240
105,10240,10240
106,12288,10240
