bag_id,x,y
109,63488,4096
142,51200,6144
143,53248,6144
144,55296,6144
145,57344,6144
146,59392,6144
147,61440,6144
148,63488,6144
149,65536,6144
150,67584,6144
159,6144,8192
160,8192,8192
161,10240,8192
162,12288,8192
163,14336,8192
164,16384,8192
165,18432,8192
166,20480,8192
167,22528,8192
180,49152,8192
181,51200,8192
182,53248,8192
183,55296,8192
184,57344,8192
185,59392,8192
186,61440,8192
187,63488,8192
188,65536,8192
189,67584,8192
190,69632,8192
198,6144,10240
199,8192,10240
200,10240,10240
201,12288,10240
202,14336,10240
203,16384,10240
204,18432,10240
205,20480,10240
206,22528,10240
207,24576,10240
217,45056,10240
218,47104,10240
219,49152,10240
220,51200,10240
221,53248,10240
222,55296,10240
223,57344,10240
224,59392,10240
225,61440,10240
226,63488,10240
227,65536,10240
228,67584,10240
229,69632,10240
230,71680,10240
232,75776,10240
237,6144,12288
238,8192,12288
239,10240,12288
240,12288,12288
241,14336,12288
242,16384,12288
243,18432,12288
244,20480,12288
245,22528,12288
246,24576,12288
247,26624,12288
259,51200,12288
260,53248,12288
261,55296,12288
262,57344,12288
263,59392,12288
264,61440,12288
265,63488,12288
266,65536,12288
267,67584,12288
268,69632,12288
269,71680,12288
271,75776,12288
276,6144,14336
277,8192,14336
278,10240,14336
279,12288,14336
280,14336,14336
281,16384,14336
282,18432,14336
283,20480,14336
284,22528,14336
285,24576,14336
286,26624,14336
288,30720,14336
298,51200,14336
299,53248,14336
300,55296,14336
301,57344,14336
302,59392,14336
303,61440,14336
304,63488,14336
305,65536,14336
306,67584,14336
307,69632,14336
308,71680,14336
309,73728,14336
316,8192,16384
317,10240,16384
318,12288,16384
319,14336,16384
320,16384,16384
321,18432,16384
322,20480,16384
323,22528,16384
324,24576,16384
325,26624,16384
326,28672,16384
327,30720,16384
338,53248,16384
339,55296,16384
340,57344,16384
341,59392,16384
342,61440,16384
343,63488,16384
344,65536,16384
345,67584,16384
346,69632,16384
347,71680,16384
348,73728,16384
355,8192,18432
356,10240,18432
357,12288,18432
358,14336,18432
359,16384,18432
360,18432,18432
361,20480,18432
362,22528,18432
363,24576,18432
364,26624,18432
365,28672,18432
366,30720,18432
378,55296,18432
379,57344,18432
380,59392,18432
381,61440,18432
382,63488,18432
383,65536,18432
384,67584,18432
385,69632,18432
386,71680,18432
388,75776,18432
395,10240,20480
396,12288,20480
397,14336,20480
398,16384,20480
399,18432,20480
400,20480,20480
401,22528,20480
402,24576,20480
403,26624,20480
404,28672,20480
417,55296,20480
418,57344,20480
419,59392,20480
420,61440,20480
421,63488,20480
422,65536,20480
423,67584,20480
424,69632,20480
425,71680,20480
426,73728,20480
434,10240,22528
435,12288,22528
436,14336,22528
437,16384,22528
438,18432,22528
439,20480,22528
440,22528,22528
441,24576,22528
442,26624,22528
443,28672,22528
462,67584,22528
463,69632,22528
464,71680,22528
465,73728,22528
476,16384,24576
479,22528,24576
480,24576,24576
481,26624,24576
482,28672,24576
501,67584,24576
502,69632,24576
503,71680,24576
504,73728,24576
519,24576,26624
520,26624,26624
521,28672,26624
540,67584,26624
541,69632,26624
542,71680,26624
557,22528,28672
558,24576,28672
559,26624,28672
560,28672,28672
597,24576,30720
598,26624,30720
599,28672,30720
