bag_id,x,y
37,4096,2048
38,6144,2048
39,8192,2048
40,10240,2048
41,12288,2048
43,16384,2048
44,18432,2048
71,2048,4096
72,4096,4096
73,6144,4096
74,8192,4096
75,10240,4096
76,12288,4096
77,14336,4096
78,16384,4096
79,18432,4096
80,20480,4096
101,63488,4096
102,65536,4096
103,67584,4096
107,4096,6144
108,6144,6144
109,8192,6144
110,10240,6144
111,12288,6144
112,14336,6144
113,16384,6144
114,18432,6144
133,57344,6144
134,59392,6144
135,61440,6144
136,63488,6144
137,65536,6144
138,67584,6144
143,6144,8192
144,8192,8192
145,10240,8192
146,12288,8192
147,14336,8192
148,16384,8192
149,18432,8192
166,53248,8192
167,55296,8192
168,57344,8192
169,59392,8192
170,61440,8192
171,63488,8192
172,65536,8192
173,67584,8192
179,8192,10240
180,10240,10240
181,12288,10240
182,14336,10240
183,16384,10240
184,18432,10240
200,51200,10240
201,53248,10240
202,55296,10240
203,57344,10240
204,59392,10240
205,61440,10240
206,63488,10240
207,65536,10240
208,67584,10240
215,10240,12288
216,12288,12288
217,14336,12288
235,51200,12288
236,53248,12288
237,55296,12288
238,57344,12288
239,59392,12288
240,61440,12288
241,63488,12288
242,65536,12288
243,67584,12288
271,53248,14336
272,55296,14336
273,57344,14336
274,59392,14336
275,61440,14336
276,63488,14336
277,65536,14336
309,59392,16384
310,61440,16384
311,63488,16384
