bag_id,x,y
22,4096,2048
23,6144,2048
24,8192,2048
40,0,4096
41,2048,4096
42,4096,4096
43,6144,4096
44,8192,4096
45,10240,4096
61,2048,6144
62,4096,6144
63,6144,6144
64,8192,6144
65,10240,6144
82,4096,8192
83,6144,8192
84,8192,8192
85,10240,8192
86,12288,8192
93,26624,8192
94,28672,8192
95,30720,8192
96,32768,8192
97,34816,8192
98,36864,8192
102,4096,10240
103,6144,10240
104,8192,10240
105,10240,10240
113,26624,10240
114,28672,10240
115,30720,10240
116,32768,10240
117,34816,10240
118,36864,10240
119,38912,10240
134,28672,12288
135,30720,12288
136,32768,12288
137,34816,12288
138,36864,12288
139,38912,12288
155,30720,14336
156,32768,14336
157,34816,14336
158,36864,14336
159,38912,14336
177,34816,16384
