bag_id,x,y
8,16384,0
9,18432,0
10,20480,0
11,22528,0
46,14336,2048
47,16384,2048
48,18432,2048
49,20480,2048
50,22528,2048
81,6144,4096
82,8192,4096
84,12288,4096
85,14336,4096
86,16384,4096
87,18432,4096
88,20480,4096
89,22528,4096
90,24576,4096
113,71680,4096
118,2048,6144
119,4096,6144
120,6144,6144
121,8192,6144
122,10240,6144
123,12288,6144
124,14336,6144
125,16384,6144
126,18432,6144
127,20480,6144
128,22528,6144
148,63488,6144
149,65536,6144
150,67584,6144
151,69632,6144
152,71680,6144
153,73728,6144
154,75776,6144
157,2048,8192
158,4096,8192
159,6144,8192
160,8192,8192
161,10240,8192
162,12288,8192
163,14336,8192
164,16384,8192
165,18432,8192
166,20480,8192
167,22528,8192
184,57344,8192
185,59392,8192
186,61440,8192
187,63488,8192
188,65536,8192
189,67584,8192
190,69632,8192
191,71680,8192
192,73728,8192
193,75776,8192
196,2048,10240
197,4096,10240
198,6144,10240
199,8192,10240
200,10240,10240
201,12288,10240
202,14336,10240
203,16384,10240
204,18432,10240
205,20480,10240
206,22528,10240
222,55296,10240
223,57344,10240
224,59392,10240
225,61440,10240
226,63488,10240
227,65536,10240
228,67584,10240
229,69632,10240
230,71680,10240
231,73728,10240
232,75776,10240
235,2048,12288
236,4096,12288
237,6144,12288
238,8192,12288
239,10240,12288
240,12288,12288
241,14336,12288
242,16384,12288
243,18432,12288
244,20480,12288
260,53248,12288
261,55296,12288
262,57344,12288
263,59392,12288
264,61440,12288
265,63488,12288
266,65536,12288
267,67584,12288
268,69632,12288
269,71680,12288
270,73728,12288
274,2048,14336
275,4096,14336
276,6144,14336
277,8192,14336
278,10240,14336
279,12288,14336
280,14336,14336
281,16384,14336
282,18432,14336
283,20480,14336
299,53248,14336
300,55296,14336
301,57344,14336
302,59392,14336
303,61440,14336
304,63488,14336
305,65536,14336
306,67584,14336
307,69632,14336
308,71680,14336
309,73728,14336
313,2048,16384
314,4096,16384
315,6144,16384
316,8192,16384
317,10240,16384
319,14336,16384
320,16384,16384
321,18432,16384
338,53248,16384
339,55296,16384
340,57344,16384
341,59392,16384
342,61440,16384
343,63488,16384
344,65536,16384
345,67584,16384
346,69632,16384
347,71680,16384
352,2048,18432
353,4096,18432
354,6144,18432
355,8192,18432
358,14336,18432
359,16384,18432
360,18432,18432
377,53248,18432
378,55296,18432
379,57344,18432
380,59392,18432
381,61440,18432
382,63488,18432
383,65536,18432
384,67584,18432
385,69632,18432
386,71680,18432
393,6144,20480
397,14336,20480
398,16384,20480
399,18432,20480
416,53248,20480
417,55296,20480
418,57344,20480
419,59392,20480
420,61440,20480
421,63488,20480
422,65536,20480
423,67584,20480
424,69632,20480
433,8192,22528
436,14336,22528
437,16384,22528
456,55296,22528
457,57344,22528
458,59392,22528
459,61440,22528
460,63488,22528
461,65536,22528
462,67584,22528
463,69632,22528
496,57344,24576
499,63488,24576
500,65536,24576
501,67584,24576
536,59392,26624
538,63488,26624
539,65536,26624
540,67584,26624
578,65536,28672
