bag_id,x,y
33,67584,0
44,12288,2048
46,16384,2048
47,18432,2048
68,61440,2048
69,63488,2048
70,65536,2048
71,67584,2048
72,69632,2048
73,71680,2048
80,8192,4096
81,10240,4096
82,12288,4096
83,14336,4096
84,16384,4096
85,18432,4096
86,20480,4096
105,59392,4096
106,61440,4096
107,63488,4096
108,65536,4096
109,67584,4096
110,69632,4096
111,71680,4096
117,6144,6144
118,8192,6144
119,10240,6144
120,12288,6144
121,14336,6144
122,16384,6144
123,18432,6144
124,20480,6144
141,55296,6144
142,57344,6144
143,59392,6144
144,61440,6144
145,63488,6144
146,65536,6144
147,67584,6144
148,69632,6144
149,71680,6144
153,2048,8192
154,4096,8192
155,6144,8192
156,8192,8192
157,10240,8192
158,12288,8192
159,14336,8192
160,16384,8192
178,53248,8192
179,55296,8192
180,57344,8192
181,59392,8192
182,61440,8192
183,63488,8192
184,65536,8192
185,67584,8192
186,69632,8192
190,0,10240
191,2048,10240
192,4096,10240
193,6144,10240
194,8192,10240
195,10240,10240
196,12288,10240
216,53248,10240
217,55296,10240
218,57344,10240
219,59392,10240
220,61440,10240
221,63488,10240
228,0,12288
229,2048,12288
230,4096,12288
231,6144,12288
232,8192,12288
233,10240,12288
254,53248,12288
255,55296,12288
256,57344,12288
257,59392,12288
258,61440,12288
267,2048,14336
268,4096,14336
269,6144,14336
270,8192,14336
271,10240,14336
293,55296,14336
294,57344,14336
295,59392,14336
296,61440,14336
305,2048,16384
306,4096,16384
307,6144,16384
308,8192,16384
309,10240,16384
331,55296,16384
332,57344,16384
333,59392,16384
334,61440,16384
344,4096,18432
345,6144,18432
346,8192,18432
347,10240,18432
348,12288,18432
349,14336,18432
369,55296,18432
370,57344,18432
371,59392,18432
372,61440,18432
373,63488,18432
374,65536,18432
383,6144,20480
384,8192,20480
385,10240,20480
386,12288,20480
387,14336,20480
388,16384,20480
408,57344,20480
409,59392,20480
410,61440,20480
411,63488,20480
412,65536,20480
422,8192,22528
423,10240,22528
424,12288,22528
425,14336,22528
426,16384,22528
447,59392,22528
448,61440,22528
449,63488,22528
450,65536,22528
461,10240,24576
462,12288,24576
463,14336,24576
486,61440,24576
487,63488,24576
500,12288,26624
