bag_id,x,y
2,4096,0
3,6144,0
4,8192,0
40,2048,2048
41,4096,2048
42,6144,2048
43,8192,2048
44,10240,2048
79,2048,4096
80,4096,4096
81,6144,4096
82,8192,4096
83,10240,4096
84,12288,4096
108,61440,4096
109,63488,4096
110,65536,4096
111,67584,4096
118,2048,6144
119,4096,6144
120,6144,6144
121,8192,6144
122,10240,6144
123,12288,6144
124,14336,6144
125,16384,6144
126,18432,6144
147,61440,6144
148,63488,6144
149,65536,6144
150,67584,6144
151,69632,6144
157,2048,8192
158,4096,8192
159,6144,8192
160,8192,8192
161,10240,8192
162,12288,8192
163,14336,8192
164,16384,8192
165,18432,8192
186,61440,8192
187,63488,8192
188,65536,8192
189,67584,8192
190,69632,8192
196,2048,10240
197,4096,10240
198,6144,10240
199,8192,10240
200,10240,10240
201,12288,10240
202,14336,10240
203,16384,10240
204,18432,10240
224,59392,10240
225,61440,10240
226,63488,10240
227,65536,10240
228,67584,10240
229,69632,10240
230,71680,10240
235,2048,12288
236,4096,12288
237,6144,12288
238,8192,12288
239,10240,12288
240,12288,12288
241,14336,12288
242,16384,12288
263,59392,12288
264,61440,12288
265,63488,12288
266,65536,12288
267,67584,12288
268,69632,12288
269,71680,12288
270,73728,12288
273,0,14336
274,2048,14336
275,4096,14336
276,6144,14336
277,8192,14336
278,10240,14336
280,14336,14336
301,57344,14336
302,59392,14336
303,61440,14336
304,63488,14336
305,65536,14336
306,67584,14336
307,69632,14336
308,71680,14336
309,73728,14336
310,75776,14336
312,0,16384
313,2048,16384
314,4096,16384
315,6144,16384
316,8192,16384
340,57344,16384
341,59392,16384
342,61440,16384
343,63488,16384
344,65536,16384
345,67584,16384
346,69632,16384
347,71680,16384
348,73728,16384
352,2048,18432
353,4096,18432
354,6144,18432
379,57344,18432
380,59392,18432
381,61440,18432
382,63488,18432
383,65536,18432
385,69632,18432
386,71680,18432
419,59392,20480
420,61440,20480
421,63488,20480
