bag_id,x,y
25,4096,2048
26,6144,2048
27,8192,2048
28,10240,2048
30,14336,2048
31,16384,2048
46,0,4096
47,2048,4096
48,4096,4096
49,6144,4096
50,8192,4096
51,10240,4096
52,12288,4096
53,14336,4096
54,16384,4096
55,18432,4096
60,28672,4096
61,30720,4096
62,32768,4096
63,34816,4096
64,36864,4096
65,38912,4096
66,40960,4096
67,43008,4096
68,45056,4096
70,2048,6144
71,4096,6144
72,6144,6144
73,8192,6144
74,10240,6144
75,12288,6144
76,14336,6144
77,16384,6144
82,26624,6144
83,28672,6144
84,30720,6144
85,32768,6144
86,34816,6144
87,36864,6144
88,38912,6144
89,40960,6144
90,43008,6144
91,45056,6144
96,8192,8192
97,10240,8192
105,26624,8192
106,28672,8192
107,30720,8192
108,32768,8192
109,34816,8192
110,36864,8192
111,38912,8192
112,40960,8192
113,43008,8192
